酒店名称	酒店类型	位置信息	起价	评分	点评数
哈尔滨丁香假日宾馆(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥488起	4.8	共258条评论
春天连锁宾馆(哈尔滨香坊万达省医院店)	经济型	近珠江路地铁站 · 龙塔/会展中心	¥246起	4.8	共968条评论
艾铂特酒店(哈尔滨哈西高铁站万达广场店)	高档型	近哈尔滨西站 · 哈西万达广场	¥571起	4.8	共1004条评论
暖幢·雅居城宿(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥597起	4.8	共418条评论
柏琳宾馆(哈尔滨医大一院店)	经济型	近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥191起	4.5	共360条评论
春天连锁宾馆(工人文化宫火车站店)	经济型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥203起	4.8	共1232条评论
哈尔滨中央大街马迭尔宾馆	四星级	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1274起	4.7	共1911条评论
希岸Deluxe酒店(哈尔滨中央大街店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1246起	4.9	共2837条评论
如家酒店(哈尔滨江北大学城北站店)	经济型	近江北大学城地铁站 · 江北大学城	¥441起	4.8	共742条评论
品宜酒店(哈尔滨哈西广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥326起	4.9	共524条评论
格林豪泰(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥827起	4.8	共196条评论
都市大发酒店(哈尔滨商业大学南校店)	经济型	近哈尔滨商业大学 · 群力新区	¥175起	4.7	共237条评论
哈尔滨融创施柏阁酒店	豪华型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥1224起	4.9	共5957条评论
如家商旅酒店(哈尔滨哈西万达广场高铁站店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥560起	4.9	共1759条评论
百祥假日酒店(哈尔滨东站店)	高档型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥366起	4.8	共432条评论
哈尔滨火车站果戈里大街漫心酒店	高档型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥839起	4.9	共1345条评论
如家精选酒店(哈尔滨火车站省政府店)	舒适型	近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥670起	4.9	共478条评论
麗枫酒店(哈尔滨哈西火车站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥599起	4.9	共3009条评论
金星宾馆(哈尔滨火车站站前广场店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥374起	4.7	共471条评论
北北大酒店(哈尔滨火车站站前广场店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥478起	4.7	共457条评论
哈尔滨俊朗中央大酒店(中央大街店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥551起	4.5	共114条评论
如家商旅酒店(哈尔滨中央大街安国街店)	舒适型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥870起	4.8	共44条评论
暖幢·艺术城宿(万科大都会店)	经济型	近丽江路与友谊西路交叉口 · 群力新区	¥557起	4.9	共459条评论
如家酒店(哈尔滨会展中心衡山路万达广场店)	经济型	近省医院地铁站 · 龙塔/会展中心	¥464起	4.8	共977条评论
和颐酒店(哈尔滨和平路中医药大学店)	高档型	近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区	¥589起	4.8	共1169条评论
汉庭酒店(哈尔滨西站西广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥499起	4.9	共686条评论
哈尔滨博发假日酒店	经济型	近哈尔滨商业大学 · 群力新区	¥166起	4.3	共111条评论
如家派柏·云酒店(哈尔滨香坊万达店)		近省医院地铁站 · 龙塔/会展中心	¥264起	4.5	共116条评论
万笙宾馆(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥673起	4.7	共446条评论
丽呈東谷酒店(哈尔滨中央大街火车站店)	高档型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥850起	4.9	共2465条评论
钱方时尚宾馆(农业大学店)	经济型	近东北农业大学地铁站 · 龙塔/会展中心	¥141起	4.9	共10条评论
巨幕影酒店	经济型	近江北大学城地铁站 · 江北大学城	¥152起	4.2	共26条评论
黑龙江大学C区留学生公寓	舒适型	近黑龙江大学 · 江南大学城	¥152起	4.5	共15条评论
速喜宾馆(哈尔滨玛克威店)	经济型	近清真寺地铁站 · 道外巴洛克	¥172起	4.7	共118条评论
7天酒店(哈尔滨会展中心禧龙大市场店)	经济型	近化工路与先锋路交叉口 · 哈东万达广场	¥215起	4.8	共451条评论
马迭尔MIX酒店(哈尔滨医大二院店)	舒适型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥384起	4.8	共808条评论
百年商务宾馆(哈尔滨会展中心店)	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥463起	4.8	共286条评论
如家酒店(哈尔滨火车站海城街装饰材料市场店 )	经济型	近工人文化宫地铁站 · 江南大学城	¥399起	4.8	共281条评论
如家酒店(哈尔滨红旗大街公滨路地铁站店)	经济型	近珠江路地铁站 · 龙塔/会展中心	¥411起	4.8	共230条评论
春和兰宾馆(哈尔滨西站)	经济型	近哈尔滨西站 · 哈西万达广场	¥131起	4.8	共545条评论
如家派柏·云酒店(哈尔滨医大三院店)	经济型	近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区	¥247起	4.6	共395条评论
哈尔滨瀚林酒店	舒适型	近王岗镇中心卫生院 · 哈西万达广场	¥143起	4.8	共96条评论
7天连锁酒店(哈尔滨西站万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥303起	4.8	共1131条评论
速8酒店(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥411起	4.5	共365条评论
7天酒店(哈尔滨西站店)	经济型	近哈西万达广场 · 哈西万达广场	¥355起	4.7	共345条评论
非繁城品酒店(哈尔滨松北世茂大道游乐园店)	舒适型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥440起	4.9	共763条评论
哈尔滨金宝利商务酒店	舒适型	近731部队罪证遗址 · 平房区政府	¥488起	4.8	共555条评论
哈尔滨迈唯国际精品酒店	经济型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥245起	4.3	共106条评论
维也纳酒店(哈尔滨火车站建国街店)	舒适型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥565起	4.8	共397条评论
云舟太空舱青年旅舍	经济型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥134起	4.9	共52条评论
宜必思酒店(哈尔滨会展中心红旗大街店)	舒适型	近珠江路地铁站 · 龙塔/会展中心	¥531起	4.8	共229条评论
如家酒店·neo(哈尔滨会展中心市二院地铁站店)	经济型	近哈药集团制药六厂 · 龙塔/会展中心	¥488起	4.8	共490条评论
哈尔滨中央大街希尔顿欢朋酒店	高档型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥999起	4.9	共5146条评论
如家商旅酒店(哈尔滨松北万达旅游城冰雪大世界店)	舒适型	近哈尔滨融创乐园 · 冰雪大世界/太阳岛	¥489起	4.8	共236条评论
寒舍自游驿青年旅舍(中华巴洛克街区地铁站店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥123起	4.7	共162条评论
喆啡酒店(哈尔滨哈西学府凯德理工大学店)	舒适型	近东北林业大学 · 江南大学城	¥511起	4.8	共1521条评论
天洋宾馆(哈尔滨省医院店)	经济型	近省医院地铁站 · 龙塔/会展中心	¥131起	4.5	共166条评论
7天酒店(哈尔滨医大一院店)	经济型	近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥374起	4.9	共1768条评论
京豪假日宾馆(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥303起	4.3	共131条评论
汉庭酒店(哈尔滨西大直街工大店)	经济型	近哈尔滨工业大学 · 江南大学城	¥545起	4.8	共647条评论
潮漫酒店(哈尔滨松北世茂大道冰雪大世界店)	舒适型	近世茂大道地铁站 · 冰雪大世界/太阳岛	¥627起	4.8	共582条评论
锦江之星风尚(哈尔滨秋林医大一院店)	经济型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥249起	4.4	共138条评论
哈尔滨华盛假日酒店	经济型	近利民开发区 · 呼兰站	¥111起	4.8	共341条评论
森霖酒店(哈尔滨承德街道外公路客运站店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥177起	4.8	共680条评论
汉庭酒店(哈尔滨秋林哈医大一院店)	经济型	近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥622起	4.9	共1245条评论
哈尔滨锦悦假日酒店	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥162起	4.8	共94条评论
云宿酒店(哈尔滨江北大学城店)	经济型	近江北大学城地铁站 · 江北大学城	¥272起	4.8	共45条评论
红军街壹号酒店(哈尔滨火车站中央大街店)	高档型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥1208起	4.8	共499条评论
桔子酒店(哈尔滨博物馆地铁站店)	舒适型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥765起	4.8	共317条评论
哈尔滨富力丽思卡尔顿酒店	豪华型	近哈尔滨爱尔眼科医院 · 中央大街/索菲亚大教堂/防洪纪念塔	¥3213起	4.9	共1972条评论
西屋酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥458起	4.9	共1065条评论
傲雪四季酒店(融创乐园冰雪大世界店)	高档型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥575起	4.8	共1302条评论
宜必思酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥589起	4.9	共495条评论
润旅轻奢旅馆(哈尔滨商业大学店)	经济型	近哈尔滨商业大学 · 中央大街/索菲亚大教堂/防洪纪念塔	¥68起	4.8	共59条评论
北春宾馆(哈尔滨医科大学附属第一医院店)	经济型	近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥380起	4.7	共295条评论
华驿酒店(哈尔滨凯德广场埃德蒙顿路机场巴士站店)	经济型	近凯德广场(埃德蒙顿路店) · 群力新区	¥275起	4.8	共414条评论
暖幢·轻居民宿(群力王府井购物中心店)	经济型	近远大购物中心(群力店) · 群力新区	¥431起	4.8	共293条评论
嘉豪宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥200起	4.9	共89条评论
鸿城招待所(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥49起	4.9	共6条评论
哈尔滨JW万豪酒店	豪华型	近哈尔滨市人民政府 · 冰雪大世界/太阳岛	¥1804起	4.8	共786条评论
维也纳国际酒店(哈尔滨哈西高铁站店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥478起	4.9	共1504条评论
哈尔滨哈西希尔顿欢朋酒店	高档型	近哈西万达广场 · 哈西万达广场	¥927起	4.9	共1534条评论
哈尔滨松北香格里拉大酒店	豪华型	近世茂大道地铁站 · 冰雪大世界/太阳岛	¥1771起	4.9	共2377条评论
春天精品酒店(哈尔滨三大动力店)	经济型	近乐松购物广场 · 乐松广场/东北林业大学/香坊商业区	¥239起	4.9	共622条评论
凯里亚德酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥463起	4.9	共474条评论
西优酒店(哈尔滨西站哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥484起	4.8	共174条评论
如家驿居酒店(哈尔滨会展中心衡山路万达广场店)	舒适型	近省医院地铁站 · 龙塔/会展中心	¥498起	4.8	共206条评论
欢乐颂公寓(哈尔滨工业大学西大桥地铁站店)	经济型	近和兴路地铁站 · 江南大学城	¥178起	4.3	共24条评论
锦江之星(哈尔滨西大直街和兴路地铁站店)	经济型	近学府路地铁站 · 江南大学城	¥411起	4.7	共1692条评论
雅柏酒店(黑龙江大学店)	经济型	近黑龙江大学 · 江南大学城	¥269起	4.7	共432条评论
乐雪酒店(松北万达城融创乐园店)	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥376起	4.6	共207条评论
全顺宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥182起	4.9	共287条评论
哈尔滨鸿熙宾馆		近工程大学地铁站 · 道外巴洛克	¥145起	4.8	共99条评论
春兰宾馆(哈尔滨西站哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥182起	4.8	共466条评论
金谷巷酒店	舒适型	近金泰 · 阿城商业区	¥281起	4.8	共131条评论
蘭庭智慧酒店(哈尔滨服装城医大二院店)	经济型	近黑龙江大学 · 江南大学城	¥312起	4.6	共429条评论
如家素柏·云酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥625起	4.8	共678条评论
哈尔滨天惠酒店	舒适型	近烟厂地铁站 · 工程大学/哈尔滨东站	¥425起	4.6	共128条评论
云阙民宿(红军街分店)		近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥399起	4.9	共44条评论
哈尔滨博豪时尚精品宾馆(中央大街店)	经济型	近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔	¥315起	4.9	共26条评论
禧龙宾馆(哈尔滨海城店)	经济型	近工人文化宫地铁站 · 江南大学城	¥220起	4.1	共27条评论
哈尔滨朵尔漫公寓(群力贝肯山六期A店)	经济型	近银泰城 · 群力新区	¥269起	4.8	共64条评论
紫晶旅店(中央大街索菲亚教堂店)		近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥77起	4.8	共11条评论
东源商务宾馆(儿童医院店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥259起	4.5	共234条评论
金丰公寓(黑龙江大学哈尔滨学院店)	经济型	近黑龙江大学 · 江南大学城	¥129起	4.9	共59条评论
晟博商务酒店(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥437起	4.6	共119条评论
哈尔滨意枫宾馆	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥216起	4.8	共84条评论
哈尔滨冰都时尚快捷宾馆	经济型	近中华巴洛克风情街 · 道外巴洛克	¥149起	4.7	共85条评论
喆啡酒店(哈尔滨会展中心万达广场龙塔店)	舒适型	近省政府地铁站 · 龙塔/会展中心	¥542起	4.9	共1982条评论
哈尔滨斯凯沃商务酒店	舒适型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥320起	4.7	共72条评论
希岸酒店(哈尔滨哈西高铁万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥632起	4.9	共1475条评论
悦庭假日酒店(哈尔滨江北大学城店)	经济型	近江北大学城地铁站 · 江北大学城	¥170起	4.7	共51条评论
曼和轻居酒店(哈尔滨火车站店)	经济型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥666起	4.4	共69条评论
如家酒店·neo(哈尔滨会展中心汉水路店)	经济型	近会展中心地铁站 · 龙塔/会展中心	¥439起	4.8	共365条评论
龙门太空舱青年旅舍(哈尔滨中央大街经纬街店)	经济型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥121起	4.8	共102条评论
哈尔滨万达公寓(西客站店)	经济型	近哈西万达广场 · 哈西万达广场	¥464起	4.9	共140条评论
春天连锁宾馆(哈尔滨哈东站店)	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥216起	4.9	共997条评论
朵美酒店(哈尔滨东站工程大学店)	经济型	近黑龙江工程学院 · 工程大学/哈尔滨东站	¥329起	4.6	共17条评论
云朵酒店(哈尔滨太平国际机场店)	高档型	近先富小学校 · 太平国际机场地区	¥644起	4.8	共1941条评论
哈尔滨龙腾宾馆	经济型	近格兰云天-A区 · 乐松广场/东北林业大学/香坊商业区	¥207起	4.9	共116条评论
握手·设计师酒店(哈尔滨双城区店)	舒适型	近卓越时代购物广场(和平大街店) · 双城	¥184起	4.9	共377条评论
秋果酒店(哈尔滨西站万达广场店)	高档型	近哈西万达广场 · 哈西万达广场	¥1115起	4.9	共2433条评论
天竹宾馆(哈尔滨火车站机场大巴店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥390起	4.7	共999条评论
薰衣草时尚宾馆(哈尔滨东站店)		近哈尔滨东站 · 工程大学/哈尔滨东站	¥215起	4.3	共9条评论
友园宾馆(哈尔滨学院路大学城店)		近江北大学城地铁站 · 江北大学城	¥113起	4.5	共95条评论
四季云端宾馆(哈尔滨黑龙江大学学府路店)	经济型	近黑龙江大学 · 江南大学城	¥328起	4.7	共232条评论
哈尔滨海逸·臻品酒店(双城状元湖店)	经济型	近河南校泵 · 双城	¥122起	4.9	共1108条评论
希岸Deluxe酒店(哈尔滨省政府中山路店)	舒适型	近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥881起	4.9	共195条评论
汇嘉酒店(哈尔滨哈西万达广场西客站店)	经济型	近哈西万达广场 · 哈西万达广场	¥315起	4.8	共141条评论
悦豪酒店(哈尔滨西站哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥376起	4.8	共588条评论
和颐至尊酒店(哈尔滨高铁西站万达广场店)	高档型	近哈尔滨西站 · 哈西万达广场	¥593起	4.9	共477条评论
如家酒店.neo(哈尔滨火车站西大直街工大地铁站店)	经济型	近哈尔滨工业大学 · 江南大学城	¥548起	4.8	共707条评论
哈尔滨新启航宾馆(太平国际机场店)	舒适型	近哈尔滨市航港休闲度假村 · 太平国际机场地区	¥245起	4.9	共476条评论
汉庭酒店(哈尔滨江北大学城地铁站店)	经济型	近江北大学城地铁站 · 江北大学城	¥370起	4.7	共407条评论
瀚辰商务公寓		近万达滑雪场 · 冰雪大世界/太阳岛	¥300起	5.0	共24条评论
哈尔滨美宿影院公寓	经济型	近远大购物中心(群力店) · 群力新区	¥324起	4.7	共97条评论
斯维登精品酒店(哈尔滨群力远大店)	舒适型	近银泰城 · 群力新区	¥432起	4.8	共375条评论
我爱我嘉宾馆(黑龙江大学哈尔滨学院店)	经济型	近黑龙江大学 · 江南大学城	¥241起	4.8	共122条评论
如家商旅酒店(哈尔滨会展中心体育学院黄河路店)	舒适型	近龙塔 · 龙塔/会展中心	¥549起	4.9	共278条评论
如家酒店·neo(哈尔滨三大动力路哈锅店)	经济型	近锅炉厂家属小区 · 乐松广场/东北林业大学/香坊商业区	¥449起	4.9	共377条评论
如家派柏·云酒店(哈尔滨承德广场中华巴洛克风情街店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥291起	4.6	共151条评论
如家商旅酒店(哈尔滨会展中心汉水路龙塔店)	舒适型	近珠江路地铁站 · 龙塔/会展中心	¥494起	4.9	共238条评论
哈尔滨丽景花园酒店(中央大街店)	高档型	近哈尔滨爱尔眼科医院 · 中央大街/索菲亚大教堂/防洪纪念塔	¥876起	4.8	共206条评论
M影愿酒店(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥592起	4.5	共238条评论
全季酒店(哈尔滨东大直街医大一院店)	舒适型	近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥803起	4.9	共193条评论
哈尔滨儒家商务宾馆	经济型	近哈尔滨工程大学 · 工程大学/哈尔滨东站	¥121起	4.8	共84条评论
地玖公馆酒店(哈尔滨融创乐园冰雪大世界店)	舒适型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥537起	4.9	共168条评论
汉庭酒店(哈尔滨哈工大店)	经济型	近哈尔滨工业大学 · 江南大学城	¥429起	4.8	共359条评论
哈尔滨易家民宿(国际会展中心店)	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥227起	4.8	共146条评论
天之蓝假日宾馆(哈尔滨太平国际机场店)	舒适型	近先富小学校 · 太平国际机场地区	¥133起	4.9	共1011条评论
哈尔滨小英公寓	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥70起	4.8	共7条评论
哈尔滨芒果酒店式精品公寓	经济型	近哈尔滨西站 · 哈西万达广场	¥203起	4.8	共143条评论
桔子酒店式公寓(哈尔滨银泰店)	经济型	近群力大道 · 群力新区	¥424起	4.6	共40条评论
美航宾馆(哈尔滨太平国际机场店)		近先富小学校 · 太平国际机场地区	¥162起	4.8	共80条评论
