id,city,shop_name,address,contact_phone,business_hours,ranking,overall_rating,reviews_count,review_category,visitor_rating,visitor_review
,哈尔滨,新一百,石头道街118号(近曼哈顿),0451-87127000,全年 09:30-21:00,第11名,4.6 分,(83条点评),全部(82)◆很好(60)◆好(12)◆一般(9)◆差(0)◆很差(1)◆,商品：1 环境：1 服务：1,需要告诉大家，这里的活动中奖买翡翠什么的，好像不太对，打完三折，还比别的地方贵一半，所以中奖什么的可能有假，大家谨防上当。
,哈尔滨,百盛购物中心(中央大街店),哈尔滨市道里区中央大街222号,0451-85981111,9:30-21:00,第12名,4.6 分,(67条点评),全部(65)◆很好(47)◆好(11)◆一般(7)◆差(0)◆很差(0)◆,,百盛共七层，其中含地下一层鞋品，一楼化妆品及金银饰品，手表。二楼三楼女装及箱包，四楼男装，五楼童装及小家电，六楼羽绒服和快餐厅。价格中档偏上，不过折扣比较大，款式也很新潮。旁边有沃尔玛超市，非常便利。
,哈尔滨,松雷国际大厦（南岗店）,哈尔滨市南岗区东大直街329号松雷商业大厦(近建设街),0451-53646867,8:30-17:30,第13名,4.6 分,(31条点评),全部(31)◆很好(22)◆好(7)◆一般(2)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,环境好，不是很大，它的一楼是化妆品和手表和奢侈品，一楼走一个买Uee的专柜，鞋很好很暖和有活动买一个正价第二件半价，二楼是男装，三楼是国际女装，四楼是少淑，值得一提的是七楼的餐厅有西餐还有海鲜自助餐很美味。
,哈尔滨,果戈里书店,黑龙江省哈尔滨市南岗区果戈里大街164号,0451-84675693,周一-周日9:00-22:00,第14名,4.6 分,(108条点评),全部(84)◆很好(63)◆好(10)◆一般(10)◆差(1)◆很差(0)◆,商品：5 环境：5 服务：5,哈尔滨第一站定在网上称之为最美书店的果戈里书店。推开果戈里书店的门，眼前一条纵深走廊，灯光昏黄，造作欧式窗台、极力显示历史感的照片，一丝失望涌上心头。踏上木质楼梯，从朱红的通道来到二楼。&#160;惊喜地发现这里隐匿着一家符合心中对书店的所有期待的精致书店。一排排类红木的书架、&#160;读书少女”主题雕塑、俄式书桌、民国风格圈椅、沙发，每一个角落都充满艺术的情怀。特别喜欢木栏围起来的阅读区，看上去有点凌乱、随意，恰恰如此能人感到温馨，拿上几本书，书籍大部分可以免费阅读的，随意地坐在沙发上，惬意翻阅着有趣图文，是件很美妙的事情哦。
,哈尔滨,麦凯乐(尚志大街店),尚志大街73号(近石头道街口),"0451-58989007,58989666",全年 09:30-21:00,第15名,4.6 分,(48条点评),全部(46)◆很好(34)◆好(10)◆一般(0)◆差(1)◆很差(1)◆,,哈尔滨麦凯乐百货总店位于道里区原市中心广场，临着中央大街和索非亚大教堂，是集国际一流名品、大型超市、休闲娱乐、餐饮酒店于一体的现代化高档百货店，里面东西说实话老百姓真有点消费不起！
,哈尔滨,秋林公司,黑龙江省哈尔滨市南岗区东大直街319号,0451-58938100,全年 09:00-20:00,第16名,4.5 分,(83条点评),全部(78)◆很好(45)◆好(28)◆一般(5)◆差(0)◆很差(0)◆,,今年国庆自由行去了一次黑龙江，最后一天逛哈尔滨市区时，当地朋友带我们去了著名的秋林公司。地下一层的食品广场各种美味琳琅满目，人山人海，大家都冲着秋林大红肠去的。口味有烟熏味或蒜香味，品种则细分为成人型或儿童型，前者28.8元/斤，后者29.8元/斤。我两种口味各买了一些，店家现场将红肠抽真空、装了五大包。嚼劲十足、回味无穷，带回上海送人，亲朋好友都非常喜欢。
,哈尔滨,哈尔滨华燕奥特莱斯购物中心,道里区地段街95号(索菲亚教堂对面),0451-84565123,全年 09:30-20:30,第17名,4.8 分,(13条点评),全部(13)◆很好(10)◆好(3)◆一般(0)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,商场宽畅，品种齐全，是购物的首选
,哈尔滨,哈尔秋林国际购物中心,黑龙江省哈尔滨市南岗区东大直街320号,0451-85938888,全年 09:00-21:00,第18名,4.4 分,(45条点评),全部(44)◆很好(23)◆好(16)◆一般(4)◆差(0)◆很差(1)◆,商品：1 环境：1 服务：2,建议不要去了，感觉想快要倒闭了
,哈尔滨,贵夫人皮草广场(新阳路店),黑龙江省哈尔滨市道里区新阳路338号,45184555222,9:00-17:00,第19名,4.5 分,(8条点评),全部(8)◆很好(5)◆好(2)◆一般(1)◆差(0)◆很差(0)◆,,还可以吧，总体来说目前没啥不满意的
,哈尔滨,红博会展购物广场,黑龙江省哈尔滨市南岗区红旗大街301号,0451-82273032,全年 09:30-21:00,第20名,4.1 分,(25条点评),全部(25)◆很好(10)◆好(7)◆一般(8)◆差(0)◆很差(0)◆,,一些人连博物馆地下的红博和红博会展中心都分不清就上来评论。红博会展是个大型商场，地下超市，一层各种服装品牌，申格体育，牌子全，中高档层次，餐饮也很多比较有特色，和中央公园地下相连，有室内冰场。购物值得推荐，环境好品种全，吃饭种类多。顶级牌子不多，zara，lee levis ck这档次的品牌多，打折力度不大。
,哈尔滨,琥珀屋（哈尔滨卓展）,黑龙江省哈尔滨市道里区安隆街106号 3F,,12/25-12/25 16:28-16:28,第21名,4.8 分,(9条点评),全部(9)◆很好(8)◆好(0)◆一般(1)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,店铺里面装修挺漂亮的，商品也挺全。
,哈尔滨,玛克威商厦,哈尔滨市道外区靖宇街168号,0451-88992480,全年 06:30-16:00,第22名,4.9 分,(9条点评),全部(9)◆很好(8)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,东西便宜，品种繁多，一站式购齐所有想买的东西，是个淘便宜货的好地方。
,哈尔滨,卓展购物中心(哈尔滨店),黑龙江省哈尔滨市道里区安隆街106号,0451-87736111,全年 10:00-21:00,第23名,4.3 分,(21条点评),全部(20)◆很好(12)◆好(5)◆一般(2)◆差(0)◆很差(1)◆,商品：4 环境：4 服务：4,这场购物中心在哈尔滨也算是比较高档的商场了，商场里的人不算多，购物环境还是不错的，超市在负一层，超市里面的东西比较贵，一楼一般都是世界品牌，楼上还有餐饮。总之不是工薪阶层所消费的。
,哈尔滨,透笼轻工批发市场,黑龙江省哈尔滨市道里区石头道街45号,0451-86879698,,第24名,4.5 分,(18条点评),全部(18)◆很好(14)◆好(1)◆一般(2)◆差(0)◆很差(1)◆,商品：5 环境：5 服务：5,小商铺批发市场，上学的时候经常去买这样火那样的东西，每次都去砍价，最后收获战利品，要是不讲价就亏了哦~
,哈尔滨,中央商城,哈尔滨市道里区中央大街100号,0451-84654737,全年 09:30-20:30,第25名,4.5 分,(37条点评),全部(37)◆很好(25)◆好(8)◆一般(3)◆差(0)◆很差(1)◆,商品：5 环境：5 服务：5,中央商城是哈尔滨的地标之一，位于中央大街上，是中央大街很有名的建筑之一。该建筑也是欧式建筑，外观大气磅礴，尤其是夜景非常好看，不过内部物价相对其他商场要贵一些。
,哈尔滨,艺汇家城市广场,哈尔滨市南岗区红旗大街240号,4.52E+18,9:00-21:00,第26名,3.3 分,(22条点评),全部(22)◆很好(8)◆好(3)◆一般(4)◆差(1)◆很差(6)◆,商品：5 环境：5 服务：5,在红旗大街就在会展中心的对面，是一个综合性的购物广场，我也是无意中来到这里的。这里卖服装、珠宝，有很多餐饮店。服装款式时尚，价格中等比较大众化。美食很多，有自助餐、各种小吃，菜品齐全，还有咖啡厅。感觉这里非常不错，以后有机会还会来的。
,哈尔滨,人和索菲春天购物广场,哈尔滨道里区 地段街128号索菲亚广场地下(近金太阳广场),45185868811,9:30-18:00,第27名,4.8 分,(6条点评),全部(6)◆很好(5)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,人和索菲亚春天购物广场是一家深受大众欢迎的中低档消费场所
,哈尔滨,群力星光耀广场,哈尔滨市道里区群力第二大道与朗江路交叉口东南侧,45188889866,每天8:00--24:00,第28名,4.7 分,(10条点评),全部(10)◆很好(9)◆好(0)◆一般(0)◆差(1)◆很差(0)◆,商品：5 环境：5 服务：5,来群力不止一次了，群力的空气不错，广场的文化氛围也浓。“坐井观天”“五国头城”的故事都被塑成蜡像向人们展示。来广场既可游玩又长知识。
,哈尔滨,乐松购物广场,哈尔滨市香坊区三大动力路8号,0451-82154448,全年 09:00-21:00,第29名,4.2 分,(35条点评),全部(34)◆很好(14)◆好(12)◆一般(8)◆差(0)◆很差(0)◆,,这个地方离单位很近，以前没事的时候经常过来溜达散步，但是最近因为疫情的缘故全都大门紧锁，我也不知道这次疫情什么时候才能过去，好想出去溜达啊
,哈尔滨,路易·威登（哈尔滨麦凯乐专卖店...,哈尔滨道里区尚志大街73号麦凯乐哈尔滨总店105商铺,0451-58989533,9:30-21:00,第30名,5.0 分,(4条点评),全部(4)◆很好(4)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,麦凯乐商场已经黄了，所以路易.威登也不存在了
,哈尔滨,信恒古玩城,黑龙江省哈尔滨市南岗区南直路255号,45182323678,9:00-17:00,第31名,4.4 分,(7条点评),全部(7)◆很好(4)◆好(2)◆一般(1)◆差(0)◆很差(0)◆,,环境很好，值得逛一逛，选择也挺多的
,哈尔滨,万达茂,哈尔滨市松北区世茂大道65号,,10:00-20:00,第32名,4.6 分,(31条点评),全部(31)◆很好(25)◆好(3)◆一般(2)◆差(0)◆很差(1)◆,商品：3 环境：3 服务：5,停车费劲！停车场去商场如同走迷宫！标识不显著！
,哈尔滨,沃尔玛购物广场(十字街店),哈尔滨南岗区 十字街58号(近平公街),45158806086,7:30-21:30,第33名,3.7 分,(17条点评),全部(17)◆很好(6)◆好(4)◆一般(5)◆差(0)◆很差(2)◆,,曾经的社区超市回忆起了过去的生活
,哈尔滨,哈尔滨华盛奥特莱斯购物中心,哈尔滨南岗区 团结镇长江路与四环交汇处(华南城华盛奥特莱斯),45151808888,09:30-17:00,第34名,4.6 分,(15条点评),全部(15)◆很好(11)◆好(3)◆一般(0)◆差(1)◆很差(0)◆,商品：5 环境：4 服务：4,这个商场去过两次环境还挺好的，商品不是很全，价钱还可以。有几样大牌商品？
,哈尔滨,小心肝家庭烘焙园,哈尔滨南岗区 淮河路上256号旁路口转进去红旗新区32栋5单元1楼,45151878500,07:30-19:30,第35名,4.9 分,(12条点评),全部(12)◆很好(11)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,很好吃，干净还很上档次，值得拥有
,哈尔滨,哈尔滨道里菜市场(大商新一百购...,哈尔滨市道里区石头道街118号大商新一百购物广场F1,,,第36名,4.7 分,(58条点评),全部(50)◆很好(39)◆好(9)◆一般(2)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,离酒店和教堂特别的近，环境卫生价格合理，品种也多。好吃的特别的多。不只是蔬菜肉奶，水果海鲜，还有特产都可以买到，我和小伙伴都特别的喜欢，在里面逛了两圈都觉得逛不够。
,哈尔滨,乐买连锁超市(和兴点),哈尔滨南岗区 和兴路99号(哈师大南校区对面),45186353888,08：30-20：00,第37名,4.7 分,(10条点评),全部(10)◆很好(7)◆好(3)◆一般(0)◆差(0)◆很差(0)◆,,【商品】种类齐全！【环境】干净整洁！【服务】热情周到！
,哈尔滨,Vv格子铺,哈尔滨呼兰区 柏林四季C1-1-29号商服(好又多超市东门和南门之间),45156885809,9:00-21:00,第38名,4.6 分,(21条点评),全部(21)◆很好(16)◆好(2)◆一般(3)◆差(0)◆很差(0)◆,,第一次体验就觉得非常满意，确实是来放松的好地方，今后会常来的
,哈尔滨,宝岛眼镜(新阳店),黑龙江省哈尔滨市道里区新阳路361号,45184820503,8；30—9；00,第39名,4.6 分,(8条点评),全部(8)◆很好(6)◆好(1)◆一般(1)◆差(0)◆很差(0)◆,,不错不错不错不错不错不错不错不错不错
,哈尔滨,麦德龙(道里商场店),黑龙江省哈尔滨市道里区职工街1号,45186378888,06:00~22:00,第40名,4.5 分,(28条点评),全部(28)◆很好(18)◆好(8)◆一般(1)◆差(0)◆很差(1)◆,,这里商品齐全度一般，常常断货。卖货的区域外互不了解。东西价格不菲！有的质量一般。！服务态度也不太好！管理似乎很严实际僵化。
,哈尔滨,秋林食品(百脑汇店),哈尔滨南岗区 西大直街87号百脑汇B1层台北东区0W04,13936479945,10：00-22：00,第41名,4.9 分,(12条点评),全部(12)◆很好(11)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,喜欢吃哈尔滨秋林的红肠，味道真的不错
,哈尔滨,甜草岗黑猪肉(花园街店),哈尔滨南岗区 花园街263-5号,45153646755,泰山路店6:00--19:30花园街店7:30--19:30河松店7:30--19:30安隆街店7:30--19:30,第42名,4.9 分,(27条点评),全部(27)◆很好(25)◆好(1)◆一般(1)◆差(0)◆很差(0)◆,,店面面积很大，环境真挺好，价格也真不贵！冲鸭！好吃到爆炸，我真是最忠实的粉丝，主要架不住美味的诱惑呀！
,哈尔滨,家乐福(西大直街店),哈尔滨南岗区 西大直街40号国展购物中心内(近红博广场),45187581290,8:00-22:00,第43名,4.8 分,(15条点评),全部(15)◆很好(12)◆好(3)◆一般(0)◆差(0)◆很差(0)◆,,商品多样化，地理位置比较优越，场地很大，出行方便，是附近居民购物首选。如果能够多多推出特惠商品，价格能更加亲民一些就更好了
,哈尔滨,ZARA(欧罗巴广场店),"哈尔滨道里区欧罗巴广场中央大街69号121-125,230-235铺位(近中央商城)",45184567970,春夏9:30-21:00秋冬9:30-20:30,第44名,5.0 分,(2条点评),全部(2)◆很好(2)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,一个值得一逛的地方，购物的天堂
,哈尔滨,家乐福（会展中心店）,黑龙江省哈尔滨市南岗区红旗大街301号红博会展购物广场B1,45182361300,08:00—22:00,第45名,3.9 分,(26条点评),全部(26)◆很好(13)◆好(3)◆一般(6)◆差(3)◆很差(1)◆,,位置在红博广场的地下一层，过去人来人往非常热闹，但是现在却是人流不多。超市里的蔬菜水果不是很新鲜，其他商品倒是很丰富。
,哈尔滨,美视达眼镜(军工店),黑龙江省哈尔滨市南岗区一曼街9号49所电子大厦A区1楼109-113室,45182522591,09:00-20:00,第46名,5.0 分,(8条点评),全部(8)◆很好(8)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,【服务】不错【环境】可以【商品】可以
,哈尔滨,红博商圈,位于哈尔滨市南岗区红博广场至果戈里大街之间的大直街沿线区域,,,第47名,4.7 分,(31条点评),全部(30)◆很好(24)◆好(5)◆一般(0)◆差(0)◆很差(1)◆,商品：1 环境：1 服务：1,哈尔滨出租司机使用连环计骗你去免税店购买熊胆等高价产品，手表等全是国产非进口，千万别上当！无耻！
,哈尔滨,家乐福(民生店),黑龙江省哈尔滨市香坊区民生路民生国际东区B栋,45182155806,08:00—22:00,第48名,4.5 分,(19条点评),全部(19)◆很好(15)◆好(2)◆一般(0)◆差(1)◆很差(1)◆,,商品还算丰富，服务态度很好，经常有促销活动，交通便利，购物的同时还可以在商场内品尝到各种当地风味的餐饮，是购物的理想场所！
,哈尔滨,蟹王阁阳澄湖大闸蟹专卖店(道里...,哈尔滨道里区 安隆街70号,45184209422,早上8店到晚上8点,第49名,5.0 分,(3条点评),全部(3)◆很好(3)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,很优惠的活动哦，推荐大家试一试，尝一尝
,哈尔滨,甜草岗黑猪肉(河松店),哈尔滨道里区 河松街与河山街交口(河山街口),45184840856,泰山路店6:00--19:30花园街店7:30--19:30河松店7:30--19:30安隆街店7:30--19:30,第50名,5.0 分,(8条点评),全部(8)◆很好(8)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,黑猪肉的颜色为最佳鲜红色，24h肉色评分3.17，pH值为6.8，保水力73.89%，肌内脂肪含量为3.48%，肌肉嫩度为3.66kg（剪切值）等肉质指标均优长白猪和大约克猪等外来瘦型猪种。
,哈尔滨,芊姿佰袋,哈尔滨南岗区 红旗大街240号艺汇家商业广场3层B112(会展中心对面),45151843308,9：00-21：00,第51名,4.0 分,(6条点评),全部(6)◆很好(2)◆好(2)◆一般(2)◆差(0)◆很差(0)◆,,这个名字取的很好，估计里面的东西也3不错。大家去看看吧！
,哈尔滨,UNIQLO,中兴大道168号哈西万达广场购物中心1F(近和谐大道、红博西城广场),4008880296,全年 09:30-21:30,第52名,5.0 分,(4条点评),全部(4)◆很好(4)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,商品很齐全 之前去抢火影联名款居然也抢到了 好运一百！
,哈尔滨,无印良品(会展红博店),红旗大街红博会展购物公园b1层B1001公园大道上区8号铺位,0451-85998598,9:30-21:00 周一至周日,第53名,3.6 分,(17条点评),全部(17)◆很好(3)◆好(7)◆一般(5)◆差(2)◆很差(0)◆,,无印良平会展红博店在红旗大街与黄河路交叉口的下沉广场一侧，在会展小镇主节的第一家店铺。货品较为齐全，人员服务态度很不错哦。
,哈尔滨,金太阳新天地购物广场,哈尔滨市道里区中央大街158号,0451-87686118,全年 10:00-19:00,第54名,4.8 分,(22条点评),全部(22)◆很好(18)◆好(3)◆一般(1)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,一个很大的购物商场人很多购物很方便
,哈尔滨,家乐福(永平店),黑龙江省哈尔滨市道外区东直路100号,45182593277,08:00—22:00,第55名,4.9 分,(9条点评),全部(9)◆很好(8)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,这里的商品挺齐全的价格还算可以环境不错
,哈尔滨,北大荒绿色食品销售中心,黑龙江省哈尔滨市香坊区红旗大街114-8号,45155198563,7:00-22:00,第56名,4.9 分,(7条点评),全部(7)◆很好(6)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,这里的商品都是北大荒的产品，绿色的
,哈尔滨,华美金店(太平桥家乐福店),哈尔滨道外区 东直路100号家乐福,18686861002,每天8:00--21:00,第57名,4.8 分,(5条点评),全部(5)◆很好(4)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：3,很好！服务员的介绍很专业！下次还去过家店里买！
,哈尔滨,宝岛眼镜(嘉茂店),哈尔滨道里区埃德蒙顿路38号嘉茂广场1楼,45184338131,8;30-20;00,第58名,4.6 分,(9条点评),全部(9)◆很好(6)◆好(2)◆一般(1)◆差(0)◆很差(0)◆,,地方不小，环境还可以，价格一般吧！
,哈尔滨,大连海参专营店,"哈尔滨南岗区 淮河路80号,天木小区8栋1门市(杏花村酒店)",18800416378,8:00-18:00,第59名,4.7 分,(6条点评),全部(6)◆很好(5)◆好(0)◆一般(1)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,世界那么大，景色那么美，美食那么多，我想去看看
,哈尔滨,zara(万达广场哈尔滨哈西店),哈尔滨市南岗区中兴大道168号万达广场F1,45182457870,09:30-21:30,第60名,4.8 分,(5条点评),全部(5)◆很好(4)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,种类齐全，价格实惠，样子五花八门
,哈尔滨,百特米多多(尚志大街店),哈尔滨道里区 尚志大街39号,18946072364,8：00-20:00,第61名,4.8 分,(6条点评),全部(6)◆很好(5)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,,店里很多设计我们都一致认为很棒，体验感非常不错，大家一定要来亲自体验一下！
,哈尔滨,沃尔玛购物广场(中山路店),哈尔滨南岗区 中山路254号,45182570316,7:30-22:10,第62名,4.7 分,(21条点评),全部(21)◆很好(18)◆好(2)◆一般(0)◆差(0)◆很差(1)◆,商品：5 环境：5 服务：4,哈尔滨第一家知名品牌超时！沃尔玛！哈尔滨第一家知名品牌超时！沃尔玛！哈尔滨第一家知名品牌超时！沃尔玛！哈尔滨第一家知名品牌超时！沃尔玛！
,哈尔滨,蜜生活体验店,哈尔滨南岗区 哈西大街109号万达SOHO-A座B2-401室(哈西万达广场旁边),45186603519,9:00—18:00,第63名,4.8 分,(4条点评),全部(4)◆很好(3)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,很不错，商品多，环境好，服务好，而且价格不太贵
,哈尔滨,松雷和平商业大厦(和平路店),和平路1号,0451-82157708,周一至周日 09:00-21:00,第64名,3.9 分,(27条点评),全部(27)◆很好(8)◆好(9)◆一般(10)◆差(0)◆很差(0)◆,,非常喜欢的一个地方，特别是冬天的时候经常溜达去。【商品】商品还可以，大多是南岗松雷换季下来的。【环境】在这附近是最好的了！【服务】还可以吧。价格稍微贵一点
,哈尔滨,北京华联(学府店),哈尔滨南岗区学府路1号凯得广场B1楼(近清华大街),45151645466,9:00-21:30,第65名,4.6 分,(5条点评),全部(5)◆很好(3)◆好(2)◆一般(0)◆差(0)◆很差(0)◆,,这里现在是热门地儿！快来逛逛吧！
,哈尔滨,明亮眼镜(红旗大街店),哈尔滨香坊区 红旗大街99-1号(近公滨路转盘道),45151882391,8:30-8:30,第66名,5.0 分,(2条点评),全部(2)◆很好(2)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,值得信任，我家人用的眼镜都在这
,哈尔滨,热风(凯德学府店),哈尔滨南岗区学府路1号凯德广场2楼,45151662980,9:30-21:00,第67名,5.0 分,(7条点评),全部(7)◆很好(7)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,一个很特别的店，有自己的特色，与众不同，挺有意思
,哈尔滨,BURBERRY(松雷商业大厦南岗店),黑龙江省哈尔滨市南岗区东大直街329号松雷商业大厦F1,45186501277,09:00-21:30,第68名,4.8 分,(5条点评),全部(5)◆很好(4)◆好(1)◆一般(0)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,是正牌，新款很多，从不打折，环境和试衣间很好，服务更好。
,哈尔滨,甜草岗黑猪肉(泰山路店),哈尔滨南岗区 泰山路102号,45182303063,泰山路店6:00--19:30花园街店7:30--19:30河松店7:30--19:30安隆街店7:30--19:30,第69名,5.0 分,(8条点评),全部(8)◆很好(8)◆好(0)◆一般(0)◆差(0)◆很差(0)◆,,肉还是不错的，只是价格能再便宜点就好了，或者多搞点优惠活动
,哈尔滨,好百客超市,哈尔滨市南岗区果戈里大街378号远大购物中心B1楼,0451-53609962,,第70名,4.7 分,(12条点评),全部(12)◆很好(8)◆好(4)◆一般(0)◆差(0)◆很差(0)◆,商品：5 环境：5 服务：5,最爱的超市环境特别好，服务也好，还有好多好吃的，拌饭也好吃，最近新开的烤披萨薄底的味道特别好，都是现场制作的，料好足，25-40块一个十二寸的。
