phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,total_customers,total_churned,churn_rate
1,1,Fiber optic,0,1,0,0,0,1,29,14,48.3
0,102,DSL,0,0,0,0,1,1,21,10,47.6
1,0,Fiber optic,0,1,1,0,1,0,13,6,46.2
1,1,Fiber optic,0,0,1,1,0,0,11,5,45.5
0,102,DSL,0,0,1,0,0,0,11,5,45.5
1,1,Fiber optic,0,1,1,0,1,1,136,61,44.9
1,0,DSL,0,0,1,0,0,0,29,13,44.8
1,0,Fiber optic,0,1,1,0,0,0,18,8,44.4
1,0,Fiber optic,0,0,1,1,0,0,9,4,44.4
1,1,Fiber optic,0,0,1,0,0,0,34,15,44.1
0,102,DSL,0,0,0,0,0,0,80,35,43.8
1,1,Fiber optic,0,0,1,1,1,1,53,23,43.4
1,1,Fiber optic,1,0,0,0,1,1,30,13,43.3
1,1,DSL,0,0,0,0,0,1,7,3,42.9
1,1,Fiber optic,0,0,0,1,1,1,33,14,42.4
1,0,DSL,0,0,0,0,1,0,24,10,41.7
1,0,Fiber optic,0,1,0,0,1,0,17,7,41.2
1,0,DSL,0,0,0,0,0,0,170,70,41.2
1,0,DSL,0,0,0,0,0,1,22,9,40.9
0,102,DSL,0,0,0,1,1,1,5,2,40.0
1,0,DSL,1,0,0,0,1,1,5,2,40.0
1,0,Fiber optic,1,0,1,1,0,1,5,2,40.0
1,1,DSL,0,0,0,0,1,1,5,2,40.0
0,102,DSL,1,0,0,0,0,1,5,2,40.0
0,102,DSL,0,0,0,1,1,0,5,2,40.0
1,0,Fiber optic,0,0,0,1,0,1,5,2,40.0
1,0,Fiber optic,0,1,0,1,1,1,15,6,40.0
1,0,Fiber optic,0,0,1,0,0,1,15,6,40.0
0,102,DSL,0,0,1,0,1,1,23,9,39.1
1,0,Fiber optic,1,0,0,0,0,0,36,14,38.9
0,102,DSL,0,1,0,0,1,1,18,7,38.9
0,102,DSL,0,1,0,0,0,0,31,12,38.7
1,1,Fiber optic,0,0,1,0,1,0,31,12,38.7
1,0,Fiber optic,1,0,0,1,1,1,8,3,37.5
1,1,DSL,0,1,0,1,0,0,8,3,37.5
0,102,DSL,0,1,1,0,0,1,8,3,37.5
1,1,Fiber optic,1,0,0,1,1,1,8,3,37.5
1,1,Fiber optic,1,0,1,0,1,1,35,13,37.1
1,1,DSL,0,0,0,0,0,0,44,16,36.4
1,0,Fiber optic,0,1,0,0,1,1,28,10,35.7
1,0,Fiber optic,0,1,1,0,1,1,28,10,35.7
1,0,Fiber optic,1,1,0,1,1,1,14,5,35.7
1,1,Fiber optic,0,0,0,1,0,0,17,6,35.3
1,1,Fiber optic,1,1,0,1,0,1,3,1,33.3
1,1,Fiber optic,1,0,0,0,0,0,33,11,33.3
0,102,DSL,1,1,0,0,1,1,3,1,33.3
1,1,DSL,0,0,1,0,0,1,3,1,33.3
1,0,DSL,0,0,0,1,1,0,9,3,33.3
1,1,Fiber optic,0,1,0,1,0,0,9,3,33.3
1,0,Fiber optic,1,0,0,1,0,0,3,1,33.3
1,0,Fiber optic,1,1,1,1,0,1,3,1,33.3
0,102,DSL,0,1,0,1,0,1,3,1,33.3
1,1,Fiber optic,1,0,0,1,1,0,3,1,33.3
0,102,DSL,1,0,0,1,1,1,3,1,33.3
1,1,Fiber optic,0,1,1,0,1,0,27,9,33.3
1,1,Fiber optic,1,1,0,0,0,1,22,7,31.8
1,1,Fiber optic,1,1,0,0,1,1,22,7,31.8
1,0,Fiber optic,0,0,0,1,1,1,16,5,31.3
0,102,DSL,0,1,1,0,1,1,16,5,31.3
1,0,Fiber optic,0,1,1,1,0,0,10,3,30.0
1,1,DSL,1,0,1,1,0,0,10,3,30.0
1,1,Fiber optic,0,1,0,1,1,0,10,3,30.0
1,1,DSL,0,0,1,0,0,0,10,3,30.0
0,102,DSL,0,0,0,1,0,0,21,6,28.6
1,0,Fiber optic,1,1,0,0,0,0,14,4,28.6
1,0,DSL,0,0,1,0,1,1,7,2,28.6
1,1,Fiber optic,1,0,1,0,1,0,7,2,28.6
1,1,Fiber optic,1,1,1,0,1,0,18,5,27.8
1,1,Fiber optic,0,1,1,0,0,1,29,8,27.6
1,0,DSL,0,0,0,0,1,1,11,3,27.3
1,1,Fiber optic,1,0,1,0,0,0,11,3,27.3
1,0,Fiber optic,0,0,1,1,0,1,11,3,27.3
1,0,Fiber optic,1,0,1,1,1,1,15,4,26.7
1,1,Fiber optic,1,1,0,0,1,0,19,5,26.3
1,0,DSL,1,0,0,0,0,0,61,16,26.2
1,0,DSL,0,0,0,1,0,0,46,12,26.1
1,0,Fiber optic,0,0,1,1,1,1,23,6,26.1
1,0,Fiber optic,1,0,1,0,0,1,4,1,25.0
1,0,DSL,0,1,0,1,0,0,24,6,25.0
1,0,DSL,0,0,1,0,0,1,12,3,25.0
1,1,Fiber optic,1,1,1,0,0,0,16,4,25.0
0,102,DSL,0,0,1,1,0,1,4,1,25.0
0,102,DSL,0,1,0,0,0,1,8,2,25.0
1,1,DSL,1,0,0,0,0,0,24,6,25.0
1,1,Fiber optic,1,0,0,0,1,0,12,3,25.0
1,0,Fiber optic,0,1,0,1,1,0,8,2,25.0
1,1,DSL,0,0,0,1,1,1,8,2,25.0
1,1,DSL,0,0,0,1,0,1,4,1,25.0
1,0,Fiber optic,1,1,1,0,1,1,12,3,25.0
1,0,Fiber optic,1,1,0,0,0,1,4,1,25.0
0,102,DSL,1,1,0,0,0,1,4,1,25.0
1,1,Fiber optic,0,1,1,1,1,1,79,19,24.1
0,102,DSL,1,0,0,0,0,0,21,5,23.8
1,0,DSL,0,0,1,1,1,1,17,4,23.5
1,0,DSL,0,1,0,0,0,0,45,10,22.2
0,102,DSL,1,0,1,0,1,1,9,2,22.2
0,102,DSL,1,1,0,0,0,0,9,2,22.2
0,102,DSL,0,1,1,0,0,0,9,2,22.2
1,0,DSL,0,0,0,1,1,1,9,2,22.2
1,0,DSL,0,0,1,1,0,0,18,4,22.2
1,1,Fiber optic,1,1,0,1,1,1,19,4,21.1
1,0,DSL,1,1,0,0,0,0,39,8,20.5
1,1,Fiber optic,0,0,0,1,0,1,10,2,20.0
1,1,DSL,0,0,0,0,1,0,5,1,20.0
1,1,DSL,0,0,1,1,1,0,5,1,20.0
1,1,Fiber optic,1,0,0,1,0,1,5,1,20.0
1,1,DSL,0,1,1,1,0,1,5,1,20.0
1,0,Fiber optic,0,1,1,1,1,1,20,4,20.0
1,1,Fiber optic,1,0,1,0,0,1,5,1,20.0
1,0,DSL,1,1,1,0,0,1,5,1,20.0
1,1,Fiber optic,0,1,0,1,0,1,10,2,20.0
1,0,DSL,1,1,0,0,1,0,5,1,20.0
0,102,DSL,1,1,0,1,1,0,5,1,20.0
1,0,DSL,0,1,0,1,0,1,10,2,20.0
0,102,DSL,1,1,1,0,0,0,10,2,20.0
1,1,Fiber optic,0,1,1,1,0,1,5,1,20.0
1,0,Fiber optic,1,0,1,0,1,0,5,1,20.0
1,1,DSL,0,0,1,0,1,1,10,2,20.0
1,0,Fiber optic,1,0,1,0,1,1,11,2,18.2
1,1,Fiber optic,0,1,1,1,0,0,11,2,18.2
1,0,Fiber optic,0,0,0,1,0,0,11,2,18.2
1,1,Fiber optic,1,0,1,1,1,1,33,6,18.2
1,0,DSL,0,1,1,0,0,0,11,2,18.2
1,0,DSL,1,0,0,1,0,0,35,6,17.1
1,1,Fiber optic,1,1,1,0,1,1,47,8,17.0
1,0,DSL,0,1,1,1,1,0,6,1,16.7
1,1,DSL,1,0,0,0,1,0,6,1,16.7
0,102,DSL,1,0,1,0,0,1,6,1,16.7
1,1,Fiber optic,1,0,1,1,0,1,6,1,16.7
1,0,Fiber optic,0,1,1,1,0,1,6,1,16.7
1,0,Fiber optic,0,1,1,0,0,1,12,2,16.7
1,0,DSL,1,0,1,0,1,0,6,1,16.7
1,1,DSL,0,0,1,1,0,0,6,1,16.7
1,0,DSL,0,0,0,1,0,1,6,1,16.7
0,102,DSL,0,1,1,1,0,0,6,1,16.7
0,102,DSL,1,1,1,0,1,1,12,2,16.7
1,0,Fiber optic,1,1,1,1,1,1,19,3,15.8
0,102,DSL,1,0,0,1,0,0,20,3,15.0
1,0,DSL,1,1,0,0,1,1,7,1,14.3
0,102,DSL,0,1,0,1,0,0,14,2,14.3
1,1,DSL,1,0,0,1,1,1,7,1,14.3
1,1,DSL,1,0,1,1,1,0,7,1,14.3
1,1,DSL,1,0,0,0,0,1,7,1,14.3
0,102,DSL,1,0,0,0,1,0,7,1,14.3
1,0,Fiber optic,1,1,0,1,0,0,7,1,14.3
1,1,Fiber optic,0,0,1,1,0,1,7,1,14.3
1,1,DSL,0,0,0,1,0,0,7,1,14.3
1,0,Fiber optic,1,1,1,0,0,0,7,1,14.3
1,0,Fiber optic,0,0,1,1,1,0,7,1,14.3
1,1,DSL,1,1,0,0,0,0,14,2,14.3
1,1,Fiber optic,1,1,1,1,1,1,51,7,13.7
1,0,DSL,0,0,1,1,0,1,8,1,12.5
1,1,DSL,0,0,0,1,1,0,8,1,12.5
0,102,DSL,1,0,0,1,1,0,8,1,12.5
1,1,Fiber optic,1,0,0,0,0,1,8,1,12.5
1,1,Fiber optic,1,1,0,1,1,0,8,1,12.5
1,0,DSL,0,1,0,1,1,0,8,1,12.5
1,1,DSL,1,1,1,0,0,1,8,1,12.5
0,102,DSL,1,0,1,1,0,1,8,1,12.5
1,1,DSL,1,0,0,1,0,1,9,1,11.1
1,1,DSL,1,1,0,1,1,0,9,1,11.1
0,102,DSL,0,1,1,1,1,1,18,2,11.1
1,0,Fiber optic,0,1,0,1,0,0,9,1,11.1
1,0,DSL,1,0,0,1,1,1,9,1,11.1
1,1,Fiber optic,1,1,1,0,0,1,9,1,11.1
1,0,Fiber optic,1,0,1,0,0,0,9,1,11.1
1,0,DSL,1,0,1,0,0,0,18,2,11.1
1,0,DSL,0,0,1,0,1,0,9,1,11.1
1,1,Fiber optic,0,1,0,1,1,1,37,4,10.8
1,0,DSL,1,0,1,0,0,1,10,1,10.0
1,0,DSL,1,0,1,1,1,0,10,1,10.0
1,0,Fiber optic,1,1,0,0,1,1,10,1,10.0
1,1,DSL,1,0,1,0,1,1,10,1,10.0
1,1,DSL,0,1,0,1,1,1,10,1,10.0
1,1,DSL,0,1,0,0,0,0,21,2,9.5
1,0,DSL,1,1,1,1,0,1,11,1,9.1
1,0,DSL,1,1,1,0,0,0,22,2,9.1
1,0,DSL,1,1,0,1,1,1,11,1,9.1
1,0,DSL,1,1,0,1,1,0,11,1,9.1
1,1,DSL,1,1,0,1,1,1,11,1,9.1
1,1,Fiber optic,1,1,1,1,1,0,11,1,9.1
1,0,No,101,101,101,101,101,101,1184,103,8.7
1,0,DSL,1,1,0,1,0,0,35,3,8.6
1,1,DSL,0,1,1,0,1,1,12,1,8.3
0,102,DSL,1,1,1,1,0,0,12,1,8.3
1,0,DSL,1,0,1,1,0,0,13,1,7.7
1,1,DSL,0,0,1,1,1,1,13,1,7.7
1,1,DSL,1,1,1,1,0,1,26,2,7.7
1,1,DSL,1,1,0,1,0,0,26,2,7.7
1,1,DSL,1,0,0,1,0,0,13,1,7.7
1,1,Fiber optic,1,1,0,0,0,0,14,1,7.1
1,0,DSL,1,1,1,1,0,0,15,1,6.7
1,0,DSL,1,1,1,1,1,0,15,1,6.7
1,1,DSL,1,0,1,1,1,1,30,2,6.7
0,102,DSL,0,0,1,1,1,1,15,1,6.7
1,1,Fiber optic,1,1,1,1,0,0,16,1,6.3
0,102,DSL,1,0,1,1,0,0,16,1,6.3
1,1,DSL,1,1,1,1,1,0,19,1,5.3
0,102,DSL,1,0,1,1,1,1,20,1,5.0
1,0,DSL,1,0,1,1,1,1,29,1,3.4
1,0,DSL,1,1,1,1,1,1,31,1,3.2
1,1,No,101,101,101,101,101,101,342,10,2.9
1,1,DSL,1,1,1,1,1,1,87,1,1.1
1,0,DSL,0,1,0,1,1,1,9,0,0.0
1,0,DSL,0,1,1,0,0,1,3,0,0.0
1,0,DSL,0,1,0,0,1,0,10,0,0.0
1,0,DSL,0,1,0,0,0,1,5,0,0.0
1,0,DSL,0,1,1,0,1,0,4,0,0.0
1,0,DSL,0,1,1,0,1,1,4,0,0.0
1,0,DSL,0,0,1,1,1,0,5,0,0.0
1,0,DSL,0,1,1,1,0,0,7,0,0.0
1,0,DSL,0,1,1,1,0,1,3,0,0.0
1,0,DSL,0,1,1,1,1,1,17,0,0.0
1,0,DSL,1,0,0,0,0,1,8,0,0.0
1,0,DSL,1,0,0,0,1,0,6,0,0.0
1,0,DSL,1,0,0,1,0,1,9,0,0.0
1,0,DSL,1,0,0,1,1,0,6,0,0.0
1,0,DSL,1,0,1,0,1,1,7,0,0.0
1,0,DSL,1,0,1,1,0,1,9,0,0.0
1,0,DSL,1,1,0,0,0,1,5,0,0.0
1,0,DSL,1,1,0,1,0,1,13,0,0.0
1,0,DSL,1,1,1,0,1,0,5,0,0.0
1,0,DSL,1,1,1,0,1,1,5,0,0.0
1,1,Fiber optic,1,1,0,1,0,0,9,0,0.0
0,102,DSL,1,1,1,1,1,1,25,0,0.0
0,102,DSL,1,1,1,1,1,0,8,0,0.0
0,102,DSL,1,1,1,1,0,1,9,0,0.0
1,1,Fiber optic,1,0,1,1,0,0,4,0,0.0
1,1,Fiber optic,1,0,0,1,0,0,6,0,0.0
0,102,DSL,1,1,1,0,1,0,2,0,0.0
0,102,DSL,1,1,1,0,0,1,4,0,0.0
1,1,Fiber optic,0,1,1,1,1,0,4,0,0.0
0,102,DSL,1,1,0,1,1,1,4,0,0.0
1,0,Fiber optic,1,0,0,1,0,1,3,0,0.0
0,102,DSL,1,1,0,1,0,1,4,0,0.0
0,102,DSL,1,1,0,1,0,0,17,0,0.0
1,0,Fiber optic,1,0,1,1,0,0,5,0,0.0
0,102,DSL,1,1,0,0,1,0,6,0,0.0
1,1,Fiber optic,0,0,1,1,1,0,8,0,0.0
1,0,Fiber optic,1,1,0,0,1,0,3,0,0.0
1,0,Fiber optic,1,1,0,1,0,1,6,0,0.0
0,102,DSL,1,0,1,1,1,0,5,0,0.0
1,0,Fiber optic,1,1,0,1,1,0,2,0,0.0
1,0,Fiber optic,1,1,1,0,0,1,6,0,0.0
1,0,Fiber optic,1,1,1,0,1,0,2,0,0.0
0,102,DSL,1,0,1,0,1,0,1,0,0.0
1,0,Fiber optic,1,1,1,1,0,0,2,0,0.0
0,102,DSL,1,0,1,0,0,0,11,0,0.0
1,0,Fiber optic,1,1,1,1,1,0,4,0,0.0
1,1,DSL,0,0,1,0,1,0,3,0,0.0
0,102,DSL,1,0,0,1,0,1,4,0,0.0
1,1,DSL,0,0,1,1,0,1,6,0,0.0
0,102,DSL,1,0,0,0,1,1,5,0,0.0
1,1,DSL,0,1,0,0,0,1,3,0,0.0
1,1,DSL,0,1,0,0,1,0,2,0,0.0
1,1,DSL,0,1,0,0,1,1,2,0,0.0
1,1,DSL,0,1,0,1,0,1,7,0,0.0
0,102,DSL,0,1,1,1,1,0,4,0,0.0
0,102,DSL,0,1,1,1,0,1,3,0,0.0
1,1,DSL,0,1,0,1,1,0,7,0,0.0
1,1,DSL,0,1,1,0,0,0,3,0,0.0
0,102,DSL,0,1,1,0,1,0,3,0,0.0
1,1,DSL,0,1,1,0,0,1,5,0,0.0
1,1,DSL,0,1,1,0,1,0,5,0,0.0
0,102,DSL,0,1,0,1,1,1,3,0,0.0
0,102,DSL,0,1,0,1,1,0,2,0,0.0
1,1,DSL,0,1,1,1,0,0,2,0,0.0
1,1,DSL,0,1,1,1,1,0,9,0,0.0
1,1,DSL,0,1,1,1,1,1,25,0,0.0
1,1,DSL,1,0,0,0,1,1,5,0,0.0
1,1,DSL,1,0,0,1,1,0,4,0,0.0
1,1,DSL,1,0,1,0,0,0,4,0,0.0
1,1,DSL,1,0,1,0,0,1,2,0,0.0
0,102,DSL,0,0,1,1,1,0,3,0,0.0
1,1,DSL,1,0,1,0,1,0,4,0,0.0
0,102,DSL,0,0,1,1,0,0,11,0,0.0
1,1,DSL,1,0,1,1,0,1,11,0,0.0
1,1,DSL,1,1,0,0,0,1,6,0,0.0
1,1,DSL,1,1,0,0,1,0,6,0,0.0
1,1,DSL,1,1,0,0,1,1,2,0,0.0
1,1,DSL,1,1,0,1,0,1,5,0,0.0
1,1,DSL,1,1,1,0,0,0,13,0,0.0
0,102,DSL,0,0,0,1,0,1,4,0,0.0
1,1,DSL,1,1,1,0,1,0,4,0,0.0
1,1,Fiber optic,1,1,1,1,0,1,14,0,0.0
1,1,DSL,1,1,1,0,1,1,11,0,0.0
1,1,DSL,1,1,1,1,0,0,21,0,0.0
1,1,Fiber optic,1,0,1,1,1,0,2,0,0.0
