,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
12,如家派柏·云酒店(哈尔滨西站医大二院黑龙江大学地铁站店),经济型,近黑龙江大学 · 江南大学城,¥234起,4.5,共666条评论,¥234
13,苹果宾馆,经济型,近亚布力站 · 尚志,¥134起,4.9,共7条评论,¥134
14,麗枫酒店(哈尔滨冰雪大世界商业大学店),舒适型,近龙川路地铁站 · 冰雪大世界/太阳岛,¥624起,4.7,共1620条评论,¥624
15,裕龙大酒店(哈尔滨太平国际机场店),高档型,近太平镇人民政府 · 太平国际机场地区,¥452起,4.9,共4673条评论,¥452
16,如家酒店·neo(哈尔滨红旗大街建北街店),经济型,近珠江路地铁站 · 龙塔/会展中心,¥489起,4.7,共319条评论,¥489
17,白玉兰酒店(哈尔滨火车站博物馆地铁站店),舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥495起,4.7,共784条评论,¥495
18,宜必思酒店(哈尔滨博物馆地铁站店),舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥535起,4.8,共265条评论,¥535
19,云·酒店(哈尔滨江北大学城店),经济型,近江北大学城地铁站 · 江北大学城,¥327起,4.8,共449条评论,¥327
20,如家睿柏·云酒店(哈尔滨西大直街学府路店),经济型,近学府路地铁站 · 江南大学城,¥163起,4.4,共664条评论,¥163
21,希岸酒店(哈尔滨火车站中央大街店),舒适型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥891起,4.8,共1780条评论,¥891
22,北岸公寓(哈尔滨冰雪大世界店),,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥213起,4.9,共29条评论,¥213
23,锦江之星风尚(哈尔滨中央大街友谊东路店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥413起,4.7,共635条评论,¥413
24,乐驻酒店(哈尔滨火车站索菲亚教堂店),经济型,近哈尔滨站 · 道外巴洛克,¥243起,4.5,共436条评论,¥243
25,尚客优酒店(哈尔滨高铁站哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥471起,4.7,共1335条评论,¥471
26,哈尔滨三江时尚宾馆,,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥72起,4.8,共14条评论,¥72
27,艾美酒店(哈尔滨中央大街步行街店),高档型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥358起,4.5,共140条评论,¥358
28,哈尔滨香格里拉大酒店,五星级,近哈尔滨冰雪乐园 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2588起,4.8,共3127条评论,¥2588
29,北方国际青年旅舍(哈尔滨中央大街店),经济型,近安发桥街 · 哈尔滨站/果戈里商业区/医大一院,¥167起,4.7,共261条评论,¥167
30,哈尔滨红硕园宾馆,经济型,近清真寺地铁站 · 道外巴洛克,¥208起,4.4,共63条评论,¥208
31,哈尔滨米店青年旅舍,经济型,近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔,¥66起,4.8,共318条评论,¥66
32,汉庭酒店(哈尔滨阿城印象城店),经济型,近哈尔滨市阿城区第三中学校 · 阿城商业区,¥231起,4.8,共180条评论,¥231
33,IU酒店(哈尔滨松北区师范大学波塞冬水世界店),经济型,近杉杉奥特莱斯广场(哈尔滨店),¥336起,4.8,共265条评论,¥336
34,哈尔滨松北冰雪大世界智选假日酒店,高档型,近逐鲨体育(松北敖麓谷雅店) · 冰雪大世界/太阳岛,¥679起,4.8,共1354条评论,¥679
35,如家驿居酒店(哈尔滨火车站中央大街步行街店),经济型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥510起,4.9,共14条评论,¥510
36,哈什国际青年旅舍(哈尔滨凯德广场店),经济型,近学府路地铁站 · 江南大学城,¥90起,4.7,共312条评论,¥90
37,哈尔滨柏悦假日酒店(国际会展中心五十九中店),经济型,近南直路地铁站 · 龙塔/会展中心,¥213起,4.6,共126条评论,¥213
38,哈尔滨乐林快捷宾馆,经济型,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥100起,4.2,共32条评论,¥100
39,麗枫酒店(哈尔滨东站会展中心店),舒适型,近哈尔滨市第一专科医院 · 工程大学/哈尔滨东站,¥491起,4.9,共1831条评论,¥491
40,哈尔滨甜蜜邮局青年旅舍(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥128起,4.7,共644条评论,¥128
41,哈尔滨有家主题式酒店公寓,经济型,近群力大道 · 群力新区,¥175起,4.9,共82条评论,¥175
42,哈西宾馆(哈尔滨医大一店),经济型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥149起,4.5,共130条评论,¥149
43,哈尔滨群力银泰茂公寓,经济型,近银泰城 · 群力新区,¥209起,4.7,共450条评论,¥209
44,卡兹青年拼游旅舍(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥127起,4.7,共235条评论,¥127
45,你好酒店(哈尔滨工程大学地铁站店),经济型,近烟厂地铁站 · 工程大学/哈尔滨东站,¥547起,4.9,共33条评论,¥547
46,悦客酒店(哈尔滨融创乐园冰雪大世界店),经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥345起,4.8,共308条评论,¥345
47,全季酒店(哈尔滨中央大街人民广场店),舒适型,近人民广场地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥860起,4.8,共833条评论,¥860
48,汉庭酒店(哈尔滨冰雪大世界前进路店),经济型,近建国街与通达街(路口) · 中央大街/索菲亚大教堂/防洪纪念塔,¥560起,4.9,共356条评论,¥560
49,如家驿居酒店(哈尔滨中央大街防洪纪念塔店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥499起,4.7,共317条评论,¥499
50,哈尔滨丁香假日宾馆(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥488起,4.8,共258条评论,¥488
51,春天连锁宾馆(哈尔滨香坊万达省医院店),经济型,近珠江路地铁站 · 龙塔/会展中心,¥246起,4.8,共968条评论,¥246
52,艾铂特酒店(哈尔滨哈西高铁站万达广场店),高档型,近哈尔滨西站 · 哈西万达广场,¥571起,4.8,共1004条评论,¥571
53,暖幢·雅居城宿(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥597起,4.8,共418条评论,¥597
54,柏琳宾馆(哈尔滨医大一院店),经济型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥191起,4.5,共360条评论,¥191
55,春天连锁宾馆(工人文化宫火车站店),经济型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥203起,4.8,共1232条评论,¥203
56,哈尔滨中央大街马迭尔宾馆,四星级,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1274起,4.7,共1911条评论,¥1274
57,希岸Deluxe酒店(哈尔滨中央大街店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1246起,4.9,共2837条评论,¥1246
58,如家酒店(哈尔滨江北大学城北站店),经济型,近江北大学城地铁站 · 江北大学城,¥441起,4.8,共742条评论,¥441
59,品宜酒店(哈尔滨哈西广场店),经济型,近哈西万达广场 · 哈西万达广场,¥326起,4.9,共524条评论,¥326
60,格林豪泰(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥827起,4.8,共196条评论,¥827
61,都市大发酒店(哈尔滨商业大学南校店),经济型,近哈尔滨商业大学 · 群力新区,¥175起,4.7,共237条评论,¥175
62,哈尔滨融创施柏阁酒店,豪华型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥1224起,4.9,共5957条评论,¥1224
63,如家商旅酒店(哈尔滨哈西万达广场高铁站店),舒适型,近哈尔滨西站 · 哈西万达广场,¥560起,4.9,共1759条评论,¥560
64,百祥假日酒店(哈尔滨东站店),高档型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥366起,4.8,共432条评论,¥366
65,哈尔滨火车站果戈里大街漫心酒店,高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥839起,4.9,共1345条评论,¥839
66,如家精选酒店(哈尔滨火车站省政府店),舒适型,近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥670起,4.9,共478条评论,¥670
67,麗枫酒店(哈尔滨哈西火车站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥599起,4.9,共3009条评论,¥599
68,金星宾馆(哈尔滨火车站站前广场店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥374起,4.7,共471条评论,¥374
69,北北大酒店(哈尔滨火车站站前广场店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥478起,4.7,共457条评论,¥478
70,哈尔滨俊朗中央大酒店(中央大街店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥551起,4.5,共114条评论,¥551
71,如家商旅酒店(哈尔滨中央大街安国街店),舒适型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥870起,4.8,共44条评论,¥870
72,暖幢·艺术城宿(万科大都会店),经济型,近丽江路与友谊西路交叉口 · 群力新区,¥557起,4.9,共459条评论,¥557
73,如家酒店(哈尔滨会展中心衡山路万达广场店),经济型,近省医院地铁站 · 龙塔/会展中心,¥464起,4.8,共977条评论,¥464
74,和颐酒店(哈尔滨和平路中医药大学店),高档型,近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区,¥589起,4.8,共1169条评论,¥589
75,汉庭酒店(哈尔滨西站西广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥499起,4.9,共686条评论,¥499
76,哈尔滨博发假日酒店,经济型,近哈尔滨商业大学 · 群力新区,¥166起,4.3,共111条评论,¥166
77,如家派柏·云酒店(哈尔滨香坊万达店),,近省医院地铁站 · 龙塔/会展中心,¥264起,4.5,共116条评论,¥264
78,万笙宾馆(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥673起,4.7,共446条评论,¥673
79,丽呈東谷酒店(哈尔滨中央大街火车站店),高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥850起,4.9,共2465条评论,¥850
80,钱方时尚宾馆(农业大学店),经济型,近东北农业大学地铁站 · 龙塔/会展中心,¥141起,4.9,共10条评论,¥141
81,巨幕影酒店,经济型,近江北大学城地铁站 · 江北大学城,¥152起,4.2,共26条评论,¥152
82,黑龙江大学C区留学生公寓,舒适型,近黑龙江大学 · 江南大学城,¥152起,4.5,共15条评论,¥152
83,速喜宾馆(哈尔滨玛克威店),经济型,近清真寺地铁站 · 道外巴洛克,¥172起,4.7,共118条评论,¥172
84,7天酒店(哈尔滨会展中心禧龙大市场店),经济型,近化工路与先锋路交叉口 · 哈东万达广场,¥215起,4.8,共451条评论,¥215
85,马迭尔MIX酒店(哈尔滨医大二院店),舒适型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥384起,4.8,共808条评论,¥384
86,百年商务宾馆(哈尔滨会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥463起,4.8,共286条评论,¥463
87,如家酒店(哈尔滨火车站海城街装饰材料市场店 ),经济型,近工人文化宫地铁站 · 江南大学城,¥399起,4.8,共281条评论,¥399
88,如家酒店(哈尔滨红旗大街公滨路地铁站店),经济型,近珠江路地铁站 · 龙塔/会展中心,¥411起,4.8,共230条评论,¥411
89,春和兰宾馆(哈尔滨西站),经济型,近哈尔滨西站 · 哈西万达广场,¥131起,4.8,共545条评论,¥131
90,如家派柏·云酒店(哈尔滨医大三院店),经济型,近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区,¥247起,4.6,共395条评论,¥247
91,哈尔滨瀚林酒店,舒适型,近王岗镇中心卫生院 · 哈西万达广场,¥143起,4.8,共96条评论,¥143
92,7天连锁酒店(哈尔滨西站万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥303起,4.8,共1131条评论,¥303
93,速8酒店(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥411起,4.5,共365条评论,¥411
94,7天酒店(哈尔滨西站店),经济型,近哈西万达广场 · 哈西万达广场,¥355起,4.7,共345条评论,¥355
95,非繁城品酒店(哈尔滨松北世茂大道游乐园店),舒适型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥440起,4.9,共763条评论,¥440
96,哈尔滨金宝利商务酒店,舒适型,近731部队罪证遗址 · 平房区政府,¥488起,4.8,共555条评论,¥488
97,哈尔滨迈唯国际精品酒店,经济型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥245起,4.3,共106条评论,¥245
98,维也纳酒店(哈尔滨火车站建国街店),舒适型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥565起,4.8,共397条评论,¥565
99,云舟太空舱青年旅舍,经济型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥134起,4.9,共52条评论,¥134
100,宜必思酒店(哈尔滨会展中心红旗大街店),舒适型,近珠江路地铁站 · 龙塔/会展中心,¥531起,4.8,共229条评论,¥531
101,如家酒店·neo(哈尔滨会展中心市二院地铁站店),经济型,近哈药集团制药六厂 · 龙塔/会展中心,¥488起,4.8,共490条评论,¥488
102,哈尔滨中央大街希尔顿欢朋酒店,高档型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥999起,4.9,共5146条评论,¥999
103,如家商旅酒店(哈尔滨松北万达旅游城冰雪大世界店),舒适型,近哈尔滨融创乐园 · 冰雪大世界/太阳岛,¥489起,4.8,共236条评论,¥489
104,寒舍自游驿青年旅舍(中华巴洛克街区地铁站店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥123起,4.7,共162条评论,¥123
105,喆啡酒店(哈尔滨哈西学府凯德理工大学店),舒适型,近东北林业大学 · 江南大学城,¥511起,4.8,共1521条评论,¥511
106,天洋宾馆(哈尔滨省医院店),经济型,近省医院地铁站 · 龙塔/会展中心,¥131起,4.5,共166条评论,¥131
107,7天酒店(哈尔滨医大一院店),经济型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥374起,4.9,共1768条评论,¥374
108,京豪假日宾馆(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥303起,4.3,共131条评论,¥303
109,汉庭酒店(哈尔滨西大直街工大店),经济型,近哈尔滨工业大学 · 江南大学城,¥545起,4.8,共647条评论,¥545
110,潮漫酒店(哈尔滨松北世茂大道冰雪大世界店),舒适型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥627起,4.8,共582条评论,¥627
111,锦江之星风尚(哈尔滨秋林医大一院店),经济型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥249起,4.4,共138条评论,¥249
112,哈尔滨华盛假日酒店,经济型,近利民开发区 · 呼兰站,¥111起,4.8,共341条评论,¥111
113,森霖酒店(哈尔滨承德街道外公路客运站店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥177起,4.8,共680条评论,¥177
114,汉庭酒店(哈尔滨秋林哈医大一院店),经济型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥622起,4.9,共1245条评论,¥622
115,哈尔滨锦悦假日酒店,经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥162起,4.8,共94条评论,¥162
116,云宿酒店(哈尔滨江北大学城店),经济型,近江北大学城地铁站 · 江北大学城,¥272起,4.8,共45条评论,¥272
117,红军街壹号酒店(哈尔滨火车站中央大街店),高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥1208起,4.8,共499条评论,¥1208
118,桔子酒店(哈尔滨博物馆地铁站店),舒适型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥765起,4.8,共317条评论,¥765
119,哈尔滨富力丽思卡尔顿酒店,豪华型,近哈尔滨爱尔眼科医院 · 中央大街/索菲亚大教堂/防洪纪念塔,¥3213起,4.9,共1972条评论,¥3213
120,西屋酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥458起,4.9,共1065条评论,¥458
121,傲雪四季酒店(融创乐园冰雪大世界店),高档型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥575起,4.8,共1302条评论,¥575
122,宜必思酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥589起,4.9,共495条评论,¥589
123,润旅轻奢旅馆(哈尔滨商业大学店),经济型,近哈尔滨商业大学 · 中央大街/索菲亚大教堂/防洪纪念塔,¥68起,4.8,共59条评论,¥68
124,北春宾馆(哈尔滨医科大学附属第一医院店),经济型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥380起,4.7,共295条评论,¥380
125,华驿酒店(哈尔滨凯德广场埃德蒙顿路机场巴士站店),经济型,近凯德广场(埃德蒙顿路店) · 群力新区,¥275起,4.8,共414条评论,¥275
126,暖幢·轻居民宿(群力王府井购物中心店),经济型,近远大购物中心(群力店) · 群力新区,¥431起,4.8,共293条评论,¥431
127,嘉豪宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥200起,4.9,共89条评论,¥200
128,鸿城招待所(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥49起,4.9,共6条评论,¥49
129,哈尔滨JW万豪酒店,豪华型,近哈尔滨市人民政府 · 冰雪大世界/太阳岛,¥1804起,4.8,共786条评论,¥1804
130,维也纳国际酒店(哈尔滨哈西高铁站店),舒适型,近哈尔滨西站 · 哈西万达广场,¥478起,4.9,共1504条评论,¥478
131,哈尔滨哈西希尔顿欢朋酒店,高档型,近哈西万达广场 · 哈西万达广场,¥927起,4.9,共1534条评论,¥927
132,哈尔滨松北香格里拉大酒店,豪华型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥1771起,4.9,共2377条评论,¥1771
133,春天精品酒店(哈尔滨三大动力店),经济型,近乐松购物广场 · 乐松广场/东北林业大学/香坊商业区,¥239起,4.9,共622条评论,¥239
134,凯里亚德酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥463起,4.9,共474条评论,¥463
135,西优酒店(哈尔滨西站哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥484起,4.8,共174条评论,¥484
136,如家驿居酒店(哈尔滨会展中心衡山路万达广场店),舒适型,近省医院地铁站 · 龙塔/会展中心,¥498起,4.8,共206条评论,¥498
137,欢乐颂公寓(哈尔滨工业大学西大桥地铁站店),经济型,近和兴路地铁站 · 江南大学城,¥178起,4.3,共24条评论,¥178
138,锦江之星(哈尔滨西大直街和兴路地铁站店),经济型,近学府路地铁站 · 江南大学城,¥411起,4.7,共1692条评论,¥411
139,雅柏酒店(黑龙江大学店),经济型,近黑龙江大学 · 江南大学城,¥269起,4.7,共432条评论,¥269
140,乐雪酒店(松北万达城融创乐园店),经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥376起,4.6,共207条评论,¥376
141,全顺宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥182起,4.9,共287条评论,¥182
142,哈尔滨鸿熙宾馆,,近工程大学地铁站 · 道外巴洛克,¥145起,4.8,共99条评论,¥145
143,春兰宾馆(哈尔滨西站哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥182起,4.8,共466条评论,¥182
144,金谷巷酒店,舒适型,近金泰 · 阿城商业区,¥281起,4.8,共131条评论,¥281
145,蘭庭智慧酒店(哈尔滨服装城医大二院店),经济型,近黑龙江大学 · 江南大学城,¥312起,4.6,共429条评论,¥312
146,如家素柏·云酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥625起,4.8,共678条评论,¥625
147,哈尔滨天惠酒店,舒适型,近烟厂地铁站 · 工程大学/哈尔滨东站,¥425起,4.6,共128条评论,¥425
148,云阙民宿(红军街分店),,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥399起,4.9,共44条评论,¥399
149,哈尔滨博豪时尚精品宾馆(中央大街店),经济型,近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔,¥315起,4.9,共26条评论,¥315
150,禧龙宾馆(哈尔滨海城店),经济型,近工人文化宫地铁站 · 江南大学城,¥220起,4.1,共27条评论,¥220
151,哈尔滨朵尔漫公寓(群力贝肯山六期A店),经济型,近银泰城 · 群力新区,¥269起,4.8,共64条评论,¥269
152,紫晶旅店(中央大街索菲亚教堂店),,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥77起,4.8,共11条评论,¥77
153,东源商务宾馆(儿童医院店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥259起,4.5,共234条评论,¥259
154,金丰公寓(黑龙江大学哈尔滨学院店),经济型,近黑龙江大学 · 江南大学城,¥129起,4.9,共59条评论,¥129
155,晟博商务酒店(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥437起,4.6,共119条评论,¥437
156,哈尔滨意枫宾馆,经济型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥216起,4.8,共84条评论,¥216
157,哈尔滨冰都时尚快捷宾馆,经济型,近中华巴洛克风情街 · 道外巴洛克,¥149起,4.7,共85条评论,¥149
158,喆啡酒店(哈尔滨会展中心万达广场龙塔店),舒适型,近省政府地铁站 · 龙塔/会展中心,¥542起,4.9,共1982条评论,¥542
159,哈尔滨斯凯沃商务酒店,舒适型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥320起,4.7,共72条评论,¥320
160,希岸酒店(哈尔滨哈西高铁万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥632起,4.9,共1475条评论,¥632
161,悦庭假日酒店(哈尔滨江北大学城店),经济型,近江北大学城地铁站 · 江北大学城,¥170起,4.7,共51条评论,¥170
162,曼和轻居酒店(哈尔滨火车站店),经济型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥666起,4.4,共69条评论,¥666
163,如家酒店·neo(哈尔滨会展中心汉水路店),经济型,近会展中心地铁站 · 龙塔/会展中心,¥439起,4.8,共365条评论,¥439
164,龙门太空舱青年旅舍(哈尔滨中央大街经纬街店),经济型,近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥121起,4.8,共102条评论,¥121
165,哈尔滨万达公寓(西客站店),经济型,近哈西万达广场 · 哈西万达广场,¥464起,4.9,共140条评论,¥464
166,春天连锁宾馆(哈尔滨哈东站店),经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥216起,4.9,共997条评论,¥216
167,朵美酒店(哈尔滨东站工程大学店),经济型,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥329起,4.6,共17条评论,¥329
168,云朵酒店(哈尔滨太平国际机场店),高档型,近先富小学校 · 太平国际机场地区,¥644起,4.8,共1941条评论,¥644
169,哈尔滨龙腾宾馆,经济型,近格兰云天-A区 · 乐松广场/东北林业大学/香坊商业区,¥207起,4.9,共116条评论,¥207
170,握手·设计师酒店(哈尔滨双城区店),舒适型,近卓越时代购物广场(和平大街店) · 双城,¥184起,4.9,共377条评论,¥184
171,秋果酒店(哈尔滨西站万达广场店),高档型,近哈西万达广场 · 哈西万达广场,¥1115起,4.9,共2433条评论,¥1115
172,天竹宾馆(哈尔滨火车站机场大巴店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥390起,4.7,共999条评论,¥390
173,薰衣草时尚宾馆(哈尔滨东站店),,近哈尔滨东站 · 工程大学/哈尔滨东站,¥215起,4.3,共9条评论,¥215
174,友园宾馆(哈尔滨学院路大学城店),,近江北大学城地铁站 · 江北大学城,¥113起,4.5,共95条评论,¥113
175,四季云端宾馆(哈尔滨黑龙江大学学府路店),经济型,近黑龙江大学 · 江南大学城,¥328起,4.7,共232条评论,¥328
176,哈尔滨海逸·臻品酒店(双城状元湖店),经济型,近河南校泵 · 双城,¥122起,4.9,共1108条评论,¥122
177,希岸Deluxe酒店(哈尔滨省政府中山路店),舒适型,近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥881起,4.9,共195条评论,¥881
178,汇嘉酒店(哈尔滨哈西万达广场西客站店),经济型,近哈西万达广场 · 哈西万达广场,¥315起,4.8,共141条评论,¥315
179,悦豪酒店(哈尔滨西站哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥376起,4.8,共588条评论,¥376
180,和颐至尊酒店(哈尔滨高铁西站万达广场店),高档型,近哈尔滨西站 · 哈西万达广场,¥593起,4.9,共477条评论,¥593
181,如家酒店.neo(哈尔滨火车站西大直街工大地铁站店),经济型,近哈尔滨工业大学 · 江南大学城,¥548起,4.8,共707条评论,¥548
182,哈尔滨新启航宾馆(太平国际机场店),舒适型,近哈尔滨市航港休闲度假村 · 太平国际机场地区,¥245起,4.9,共476条评论,¥245
183,汉庭酒店(哈尔滨江北大学城地铁站店),经济型,近江北大学城地铁站 · 江北大学城,¥370起,4.7,共407条评论,¥370
184,瀚辰商务公寓,,近万达滑雪场 · 冰雪大世界/太阳岛,¥300起,5.0,共24条评论,¥300
185,哈尔滨美宿影院公寓,经济型,近远大购物中心(群力店) · 群力新区,¥324起,4.7,共97条评论,¥324
186,斯维登精品酒店(哈尔滨群力远大店),舒适型,近银泰城 · 群力新区,¥432起,4.8,共375条评论,¥432
187,我爱我嘉宾馆(黑龙江大学哈尔滨学院店),经济型,近黑龙江大学 · 江南大学城,¥241起,4.8,共122条评论,¥241
188,如家商旅酒店(哈尔滨会展中心体育学院黄河路店),舒适型,近龙塔 · 龙塔/会展中心,¥549起,4.9,共278条评论,¥549
