城市	酒店名称	酒店类型	地址	报价	酒店排名	综合评分	点评数	最热评价
哈尔滨	哈尔滨蓝翎酒店(中央大街店)		哈尔滨道里区尚志大街98号	暂无报价	哈尔滨同档次酒店好评第1213（共9628家）	4.4	744	商家服务很好,热情周到。服务很好,前台很客气
哈尔滨	凯悦之星连锁宾馆(哈站站前广场店)		哈尔滨南岗区邮政街101号	暂无报价	哈尔滨同档次酒店好评第1243（共9628家）	4.4	717	离哪里都很近的。非常满意性价比也很高
哈尔滨	哈尔滨晚安假日宾馆(中央大街索菲亚教堂店)		哈尔滨道里区中央大街2号	暂无报价	哈尔滨同档次酒店好评第1544（共9628家）	4.2	750	酒店很好,没有评价里面说的那么差。房间很好,干净整洁,楼下就是中央大街
哈尔滨	黑龙江金谷大厦(中央大街店)	四星级	哈尔滨道里区中央大街185号	暂无报价	哈尔滨四星级酒店好评第48（共136家）	4.6	380	但保护的还是蛮好的。前台小姐姐和保安小哥服务非常好,很赞
哈尔滨	哈尔滨向日葵酒店(中央大街索菲亚教堂店)	舒适型	哈尔滨道里区买卖街153号	暂无报价	哈尔滨舒适型酒店好评第50（共175家）	4.7	596	总的来说还不错,各方面都还是令人满意的。位置是非常的好
哈尔滨	哈尔滨机场宾馆	舒适型	哈尔滨道里区太平国际机场场区内	¥ 451起	哈尔滨舒适型酒店好评第120（共175家）	4.3	524	离机场很近,步行10分钟到航站楼。宾馆条件一般,无早餐
哈尔滨	哈尔滨中央大街大洋宾馆(索菲亚教堂店)	舒适型	哈尔滨道里区兆麟街22号	暂无报价	哈尔滨舒适型酒店好评第36（共175家）	4.7	396	环境好干净卫生离车站也很近好评。位置不错,服务很好哦,性价比很高
哈尔滨	豪滨假日酒店(哈尔滨火车站医大一院店)	高档型	哈尔滨南岗区果戈里大街280号	暂无报价	哈尔滨高档型酒店好评第61（共137家）	4.6	298	可以,五星好评。位置很方便
哈尔滨	惟景假日酒店(哈尔滨站中央大街店)	高档型	哈尔滨道里区建河街9号	暂无报价	哈尔滨高档型酒店好评第16（共138家）	4.8	426	前台服务很好。房间也很干净,前台工作人员服务很好
哈尔滨	和兴电竞宾馆(哈尔滨中央大街店)		哈尔滨道外区景阳街234号	暂无报价	哈尔滨同档次酒店好评第1319（共10446家）	4.5	855	打扫也很及时,地理位置也很好。整体住的还挺好
哈尔滨	哈什国际青年旅舍(哈尔滨凯德广场店)		哈尔滨南岗区自兴街33号	¥ 226起	哈尔滨同档次酒店好评第32（共116家）	4.6	390	总的来说还不错,各方面都还是令人满意的。前台哥哥非常温柔,人老好说话了
哈尔滨	新旺酒店式公寓(中央大街索非亚教堂店)		哈尔滨道里区兆麟街90号麦凯乐公寓B座19A03室	暂无报价	哈尔滨同档次酒店好评第908（共9605家）	4.6	656	很大很干净,离中央大街也近,性价比很高。一如既往的好,五星好评,希望不要骄傲
哈尔滨	全季酒店(哈尔滨中央大街店)	舒适型	哈尔滨道里区西头道街19号	暂无报价	哈尔滨舒适型酒店好评第34（共163家）	4.7	355	酒店地理位置很好,右边是中央大街。环境感觉还是不错的
哈尔滨	哈尔滨龙门太空舱青年旅舍		哈尔滨道里区中央大街经纬十一道街61号(正宏浴池旁)	暂无报价	哈尔滨同档次酒店好评第178（共9628家）	4.8	307	整体来说还是很不错的,离中央大街挺近的
哈尔滨	曼哈顿公寓(哈尔滨中央大街索菲亚教堂店)		哈尔滨道里区兆麟街57号,紧邻索菲亚教堂、中央大街	暂无报价	哈尔滨同档次酒店好评第1290（共9628家）	4.4	329	前台小哥服务超级好,体现了东北人的热情。位置极佳
哈尔滨	哈尔滨三驱公寓(哈西万达店)		哈尔滨南岗区哈西万达广场SOHO A座19层	暂无报价	哈尔滨同档次酒店好评第739（共10401家）	4.7	527	房间很宽敞,位置也不错。老板人很好
哈尔滨	哈尔滨富力万达嘉华酒店	豪华型	哈尔滨南岗区中兴大道158号	¥ 2375起	哈尔滨豪华型酒店好评第12（共24家）	4.7	656	干净整洁,这里的床垫很舒服,卫生也不错。酒店的设备设施很好,员工服务态度很好
哈尔滨	白玉兰酒店(哈尔滨火车站博物馆地铁站店)	舒适型	哈尔滨南岗区果戈里大街290号	暂无报价	哈尔滨舒适型酒店好评第109（共137家）	4.3	336	整体会比较小,卫生间也稍微紧凑。早餐很好👍
哈尔滨	速8酒店(哈尔滨中央大街店)	经济型	哈尔滨道里区经纬四道街5号(经纬街交汇处)	¥ 128起	哈尔滨经济型酒店好评第96（共157家）	4.5	172	酒店位置很好。总体来说非常满意
哈尔滨	全季酒店(哈尔滨中央大街索菲亚店)	舒适型	哈尔滨道里区田地街128号	暂无报价	哈尔滨舒适型酒店好评第58（共163家）	4.6	968	把空间最大化利用,早餐还不错,环境很好。服务人员很热情,乐于提供各种帮助
哈尔滨	哈尔滨行者咖啡酒店	舒适型	哈尔滨南岗区河沟街52号	暂无报价	哈尔滨舒适型酒店好评第102（共175家）	4.5	469	位置好,离哈站一点几公里,可以步行。前台小姐姐人超级好,房间干净整洁
哈尔滨	哈尔滨中央大街马迭尔宾馆	四星级	哈尔滨道里区中央大街89号	¥ 306起	哈尔滨四星级酒店好评第46（共138家）	4.6	1115	酒店就在中央大街,对于旅游购物相当便利。工号2029服务员热情健谈,服务好
哈尔滨	乐驻酒店(哈尔滨火车站索菲亚教堂店)		哈尔滨道外区八区二巷16号	暂无报价	哈尔滨同档次酒店好评第1027（共9605家）	4.5	175	前台服务态度还好,值得推荐。环境挺好,屋里温度挺高,服务周到
哈尔滨	哈尔滨吉航宾馆(太平国际机场店)		哈尔滨道里区哈双路太平国际机场服务区	暂无报价	哈尔滨同档次酒店好评第187（共9596家）	4.8	478	酒店服务态度很好。酒店服务态度很好
哈尔滨	和颐酒店(哈尔滨中央大街店)	高档型	哈尔滨道里区新阳路38号	¥ 237起	哈尔滨高档型酒店好评第42（共124家）	4.6	1406	位置很好,出行非常方便。卫生各方面都很好,服务人员态度很好
哈尔滨	麗枫酒店(哈尔滨哈西火车站万达广场店)	舒适型	哈尔滨南岗区西宁南路18号	暂无报价	哈尔滨舒适型酒店好评第11（共155家）	4.8	990	这个酒店的浴室很大,干净整洁。房间特别整洁,设施齐全,热水特别好
哈尔滨	全季酒店(哈尔滨中央大街人民广场店)	舒适型	哈尔滨道里区友谊路392号	¥ 254起	哈尔滨舒适型酒店好评第28（共162家）	4.7	444	服务很好,前台小姐姐超级热情友好。前台服务太好了,对人热情服务态度很好
哈尔滨	中央公馆酒店(哈尔滨中央大街店)		哈尔滨道里区中医街副99号	暂无报价	哈尔滨同档次酒店好评第1472（共9628家）	4.2	284	架子很大;味道总体上是发霉味。服务冷淡很装逼,屋子里阴冷的比较厉害
哈尔滨	哈尔滨中央大街凯瑞酒店(索菲亚教堂店)	高档型	哈尔滨道里区上游街27号	暂无报价	哈尔滨高档型酒店好评第102（共137家）	4.3	301	环境好,位置也方便。卫生好,干净整洁,床品及毛巾都很舒适
哈尔滨	哈尔滨欧罗巴酒店(中央大街索菲亚店)	舒适型	哈尔滨道里区尚志大街西十道街10号	暂无报价	哈尔滨舒适型酒店好评第99（共225家）	4.6	836	步行最多不超过15分钟。环境。卫生很干净服务周到
哈尔滨	哈尔滨雅客莱酒店(果戈里大街店)	舒适型	哈尔滨南岗区果戈里大街29号	¥ 150起	哈尔滨舒适型酒店好评第167（共228家）	4.1	137	体验感很好。各方面都很好,性价比超高
哈尔滨	卡兹青年拼游旅舍(哈尔滨中央大街店)		哈尔滨道里区通江街27号	暂无报价	哈尔滨同档次酒店好评第101（共134家）	4.3	376	离中央大街和地铁站都近,交通相当方便。公共卫生不错,卫生间洗澡间都挺干净的
哈尔滨	哈尔滨美希宾馆		哈尔滨道里区太平国际机场服务区三区先富村	暂无报价	哈尔滨同档次酒店好评第1668（共9606家）	4.1	15	服务好,卫生干净,室内整洁
哈尔滨	民航空港宾馆(哈尔滨国际候机厅店)	舒适型	哈尔滨道里区太平镇力聚盛业	暂无报价	哈尔滨舒适型酒店好评第103（共224家）	4.6	278	出门在外遇到好心人真的很难得。有接送机服务,早餐也很丰富,离机场很近
哈尔滨	凯里亚德酒店(哈尔滨火车站中央大街店)	四星级	哈尔滨道里区田地街1号	暂无报价	哈尔滨四星级酒店好评第12（共137家）	4.8	43	环境很好。酒店也很暖和
哈尔滨	米兰精品酒店(哈尔滨火车站店)	舒适型	哈尔滨道里区抚顺街290号	暂无报价	哈尔滨舒适型酒店好评第150（共226家）	4.3	377	住的很舒服,老板态度很好,住了三晚。服务员都很热情
哈尔滨	哈尔滨斯堡莱登酒店(会展中心店)	豪华型	哈尔滨香坊区华山路8号	¥ 843起	哈尔滨豪华型酒店好评第20（共25家）	4.5	357	服务态度很好,房间卫生干净。酒店太棒了,超过了我的想象
哈尔滨	四季云端连锁宾馆(师大夜市店)		哈尔滨南岗区汉广街168号	暂无报价	哈尔滨同档次酒店好评第1086（共9628家）	4.5	248	入住第一天给免费升级了复式很不错。很好甚至还带洗衣机
哈尔滨	静雅快捷宾馆(哈尔滨火车站店)		哈尔滨南岗区邮政街326号	暂无报价	哈尔滨同档次酒店好评第843（共9596家）	4.6	360	特别好的旅店,住了半个月,老板人好。位置交通
哈尔滨	佳宁假日公寓(哈尔滨中央大街店)		哈尔滨道里区中央大街经纬360大厦A座912室	暂无报价	哈尔滨同档次酒店好评第70（共9628家）	4.9	976	环境真的很好。房主很热情
哈尔滨	寒舍客栈(中华巴洛克街区地铁站店)		哈尔滨道外区南四道街80号	暂无报价	哈尔滨同档次酒店好评第204（共9628家）	4.8	738	房间简约风旁边就是地铁站很方便。有一点不是很好
哈尔滨	百祥假日酒店(哈尔滨东站店)	高档型	哈尔滨道外区桦树街5号	¥ 198起	哈尔滨高档型酒店好评第15（共138家）	4.8	758	该酒店地理位置好,交通方便。感觉空间很大很舒适,被单有点泛黄破损
哈尔滨	悦宾酒店(哈尔滨医大一院工程大学店地铁站)	舒适型	哈尔滨南岗区东大直街98号	暂无报价	哈尔滨舒适型酒店好评第100（共167家）	4.5	45	床品很干净,温度适宜,订了两天。整体感觉都很好
哈尔滨	哈尔滨甜蜜邮局青年旅舍(中央大街店)		哈尔滨道里区通江街155号	暂无报价	哈尔滨同档次酒店好评第1101（共9605家）	4.5	647	老板老板娘都特别的热情,服务相当到位。老板娘超级热情,还叫我小宝
哈尔滨	哈工大招待所(哈工大地铁站二店)		哈尔滨南岗区工建街70号	暂无报价	哈尔滨同档次酒店好评第1470（共9628家）	4.3	186	很惊喜的入住体验。感觉不错嗷,工作人员都很热情
哈尔滨	哈尔滨梦乐宾馆(中央大街店)		哈尔滨道里区通江街26号	暂无报价	哈尔滨同档次酒店好评第1788（共9628家）	3.9	900	老板人很好,沟通楼层时间都很顺畅。很好还免费给换了投影房间
哈尔滨	汉庭酒店(哈尔滨火车站广场店)	经济型	哈尔滨南岗区海关街182号(沪士大厦24-29层)	¥ 156起	哈尔滨经济型酒店好评第28（共137家）	4.6	877	服务态度非常好👍🏼。离火车站很近,出行很方便,就餐也很方便
哈尔滨	哈尔滨缤纷假日时钟宾馆		哈尔滨道里区抚顺街292号	暂无报价	哈尔滨同档次酒店好评第1753（共9628家）	4.0		
哈尔滨	雪谷佳欣度假村		五常山河屯林业局中国雪谷	¥ 324起	哈尔滨同档次酒店好评第399（共10619家）	4.8	120	老板为人和谐幽默,价格公道
哈尔滨	亚布力天琪幽舍别墅		尚志亚布力滑雪旅游度假区	暂无报价	哈尔滨同档次酒店好评第1083（共10279家）	4.5		
哈尔滨	7天酒店(哈尔滨中央大街民安街店)	经济型	哈尔滨道里区民安街8号2栋1-2层	暂无报价	哈尔滨经济型酒店好评第89（共137家）	4.4	351	想找离车站近的,这个好像不太近。尤其前台客服态度服务特别好
哈尔滨	哈尔滨国际饭店	高档型	哈尔滨南岗区西大直街4号	暂无报价	哈尔滨高档型酒店好评第101（共137家）	4.4	464	周围很多吃的,酒店本身很有历史。非常非常不错的打卡地
哈尔滨	哈尔滨禹通宾馆		哈尔滨道外区火车头道街33号(东站出口东北侧)	暂无报价	哈尔滨同档次酒店好评第1762（共10415家）	4.2		
哈尔滨	哈尔滨龙门大厦	舒适型	哈尔滨南岗区红军街85号	暂无报价	哈尔滨舒适型酒店好评第159（共226家）	4.2	96	前台小哥服务很好,酒店停电了一会。住了四天,服务态度很好,设施略显老旧
哈尔滨	勃莱梅假日酒店(哈尔滨索菲亚教堂火车站店)	高档型	哈尔滨道里区工厂街69号	暂无报价	哈尔滨高档型酒店好评第121（共137家）	4.1	145	地理位置优越,价格便宜。位置相当得好,性价比高
哈尔滨	哈尔滨大树宾馆(会展中心万达广场店)		哈尔滨香坊区民航路17号	¥ 151起	哈尔滨同档次酒店好评第12（共157家）	4.7	360	对于本次入住,必须要给个好评
哈尔滨	哈尔滨华融饭店	高档型	哈尔滨南岗区颐园街2号	暂无报价	哈尔滨高档型酒店好评第81（共137家）	4.5	248	房间干净整洁,早餐丰富,前台服务非常棒。而且前台服务超级好
哈尔滨	哈尔滨鼎丰宾馆		哈尔滨道外区庆兴街33号	¥ 110起	哈尔滨同档次酒店好评第1510（共10578家）	4.5		
哈尔滨	7天连锁酒店(哈尔滨承德广场巴洛克景区店)	经济型	哈尔滨道外区景阳街252号	暂无报价	哈尔滨经济型酒店好评第97（共137家）	4.3	235	性价比很高,附近美食众多,干净卫生。出生交通也方便,离火车站也不远
哈尔滨	哈尔滨索菲特大酒店	五星级	哈尔滨香坊区赣水路68号	¥ 821起	哈尔滨五星级酒店好评第24（共24家）	4.4	455	早餐种类丰富,中西结合。不愧是老牌的五星级酒店
哈尔滨	北方国际青年旅舍(哈尔滨中央大街店)		哈尔滨道里区地节街65号	暂无报价	哈尔滨同档次酒店好评第19（共125家）	4.6	342	但青旅本身就很好。感觉哈尔滨之旅圆满成功
哈尔滨	琪珑酒店(哈尔滨省政府民航大厦店)		哈尔滨南岗区中山路137号	暂无报价	哈尔滨同档次酒店好评第1108（共9628家）	4.5	215	买东西也方便,酒店老板人特热情。门前是地铁口,出门太方便了
哈尔滨	如家酒店·neo(哈尔滨索菲亚教堂麦凯乐中央大街店)	经济型	哈尔滨道里区兆麟街109号	暂无报价	哈尔滨经济型酒店好评第25（共122家）	4.6	1048	位置很好,索菲亚教堂旁边,离兆麟公园。到了酒店发现前台服务非常热情专业
哈尔滨	哈尔滨机场家庭宾馆		哈尔滨道里区太平镇先富村(太平国际机场附近)	暂无报价	哈尔滨同档次酒店好评第958（共9490家）	4.5	94	价格实惠,很便捷。必须给老板5星好评
哈尔滨	锦江之星(哈尔滨林业大学文昌街店)	经济型	哈尔滨香坊区王兆街59号(文昌街267号动力科技大厦内)	暂无报价	哈尔滨经济型酒店好评第100（共137家）	4.3	369	干净卫生,前台服务好。乘坐公交车很方便,楼下有超市、饭店
哈尔滨	哈尔滨香格里拉大酒店	五星级	哈尔滨道里区友谊路555号	¥ 758起	哈尔滨五星级酒店好评第21（共25家）	4.4	700	房间很干净,特别是前台小夏服务很好。亲切感十足,特别前台的金燕和赫雨航
哈尔滨	地玖公馆酒店(哈尔滨中央店)	舒适型	哈尔滨道里区新阳路443号	暂无报价	哈尔滨舒适型酒店好评第77（共170家）	4.6	94	这次东北之旅最经济最满意之一酒店。位置比较靠近中央大街了,打车五分钟直达
哈尔滨	七彩假日宾馆(哈尔滨东北林业大学店)		哈尔滨香坊区农林街68号	暂无报价	哈尔滨同档次酒店好评第1886（共9628家）	3.7	134	服务人员很热情,乐于提供各种帮助。环境很好,定的双床
哈尔滨	哈尔滨柏拉图酒店(西大直街和兴路地铁站店)	舒适型	哈尔滨南岗区西大直街店508号	¥ 283起	哈尔滨舒适型酒店好评第64（共239家）	4.7	298	酒店位置很好,在师大夜市附近。环境好,服务好,卫生好
哈尔滨	哈尔滨北大荒国际饭店(国际会展中心店)	四星级	哈尔滨香坊区红旗大街175号	暂无报价	哈尔滨四星级酒店好评第55（共138家）	4.6	253	然后位置很好。床和被子也极为舒适,早餐丰富,材质优良
哈尔滨	麦凯乐公寓		哈尔滨道里区兆麟街90号麦凯乐国际公寓B座13A11室	暂无报价	哈尔滨同档次酒店好评第280（共9604家）	4.7	1409	地理位置很好,我们定了三间房。环境不错,出行方便
哈尔滨	哈尔滨友谊宫	四星级	哈尔滨道里区友谊路263号	暂无报价	哈尔滨四星级酒店好评第89（共137家）	4.4	509	还是很不错的,位置,服务,早餐都不错。环境很好,早餐也很丰盛,不愧是老牌酒店
哈尔滨	爱琴享公寓(哈尔滨冰雪大世界店)		哈尔滨道里区爱建路47号爱琴花园小区2号门c2栋104	暂无报价	哈尔滨同档次酒店好评第152（共9606家）	4.8	1096	出行吃饭都非常方便,房间干净空间大。特别适合家庭一起出游,卫生间面积也大
哈尔滨	哈尔滨云杉国际青年旅舍		哈尔滨南岗区西宁北路97号东辉明珠小区	暂无报价	哈尔滨同档次酒店好评第1735（共9628家）	4.0		
哈尔滨	如家商旅酒店(哈尔滨中央大街松花江防洪纪念塔店)	舒适型	哈尔滨道里区友谊路225号	暂无报价	哈尔滨舒适型酒店好评第22（共175家）	4.8	514	去哪都比较方便,屋里很暖和。防洪纪念塔都很近,酒店设施较新
哈尔滨	如家商旅酒店(哈尔滨中央大街索菲亚教堂店)	舒适型	哈尔滨道里区兆麟街50号	¥ 206起	哈尔滨舒适型酒店好评第27（共239家）	4.9	174	位置距离索菲亚大教堂非常近,房间干净。位置交通
哈尔滨	凯乐宾馆(哈尔滨太平国际机场店)		哈尔滨道里区大张家屯先富小学校东北方向150米	暂无报价	哈尔滨同档次酒店好评第972（共10464家）	4.6	251	妈妈说很好。选了个附近最便宜的旅店
哈尔滨	星空酒店(哈尔滨索菲亚中央大街店)		哈尔滨道里区中央大街48号	¥ 172起	哈尔滨同档次酒店好评第1717（共10468家）	4.3	576	卫生干净,打扫房间的樊阿姨很热情。是来哈尔滨这几天见到最符合东北人的
哈尔滨	哈尔滨万达假日酒店(中央大街索菲亚教堂店)	四星级	哈尔滨道里区经纬街90号	暂无报价	哈尔滨四星级酒店好评第106（共137家）	4.3	622	位置极其优越。最后给的是1205房
哈尔滨	袋鼠优品宾馆(哈尔滨中央大街店)		哈尔滨道里区中央大街副街大安街114号	暂无报价	哈尔滨同档次酒店好评第2073（共10350家）	3.8	129	位置很不错,可以可以。离中央大街特别近
哈尔滨	哈尔滨敖麓谷雅AOLUGUYA酒店	豪华型	哈尔滨松北区创新三路800号	暂无报价	哈尔滨豪华型酒店好评第9（共25家）	4.7	1027	洗护用品这些都是相当不错。让人一进来就很温暖安全
哈尔滨	哈尔滨哈西万达金桔公寓		哈尔滨南岗区万达广场SOHOA座1817室	暂无报价	哈尔滨同档次酒店好评第1292（共9628家）	4.4		
哈尔滨	哈尔滨百联公寓		哈尔滨道里区上海街爱建非常男女公寓B栋2层06室	暂无报价	哈尔滨同档次酒店好评第165（共9628家）	4.8		
哈尔滨	哈尔滨勃莱梅大酒店	豪华型	哈尔滨香坊区中山路146号	¥ 859起	哈尔滨豪华型酒店好评第18（共24家）	4.5	398	总体还是不错的,对得起4.7分推荐。房间非常不错,早餐也很好
哈尔滨	哈尔滨东龙大酒店	高档型	哈尔滨南岗区民益街88号	暂无报价	哈尔滨高档型酒店好评第79（共138家）	4.5	119	酒店价格算合理,房间足够大。设施摆设我也很满意,附近有三家汉庭
哈尔滨	伯爵酒店(哈尔滨中央大街索菲亚教堂店)	高档型	哈尔滨道里区买卖街11号	暂无报价	哈尔滨高档型酒店好评第37（共137家）	4.6	1180	住宿感受不错。体验非常OK
哈尔滨	华驿精选酒店(哈尔滨中央大街富力江湾店)	三星级	哈尔滨道里区河鼓街68号	暂无报价	哈尔滨三星级酒店好评第139（共175家）	3.9	81	整体环境都不错,早餐的品种还需要加强。很满意
哈尔滨	冰雪奇缘客栈(雪谷二店)		五常山河屯林业局东升林场	暂无报价	哈尔滨同档次酒店好评第78（共9628家）	4.9	185	房间不大,但是炕很暖和,卫生也不错。优点当然也很多
哈尔滨	哈尔滨正明大酒店(火车站医大一院地铁站店)	高档型	哈尔滨南岗区东大直街278号	暂无报价	哈尔滨高档型酒店好评第76（共137家）	4.5	157	酒店位置很好,距离医大一很近。酒店住起来还不错,里面挺干净的,很温馨
哈尔滨	京士顿宾馆(哈尔滨中央大街防洪纪念塔店)		哈尔滨道里区西五道街37-1号	¥ 101起	哈尔滨同档次酒店好评第2167（共10489家）	3.9	208	前台小姐姐们人很好,客房干净卫生,好评。位置非常好,去哪都方便
哈尔滨	莫枫公寓(哈尔滨哈西万达广场西客站店)		哈尔滨南岗区哈西万达旁SOHOA座2楼210室	暂无报价	哈尔滨同档次酒店好评第1207（共9605家）	4.4	165	服务热情,房间也很好干净整洁。房间很干净,落地窗视野很好
哈尔滨	华谊东方酒店(哈尔滨中央大街地铁站爱建店)	舒适型	哈尔滨道里区安隆街1号	暂无报价	哈尔滨舒适型酒店好评第6（共175家）	4.9	1780	南方人勇闯东北。大堂装修装饰很有特点,房间干净整洁
哈尔滨	如家派柏·云酒店(哈尔滨中央大街索菲亚教堂店)	经济型	哈尔滨道里区兆麟街52号	¥ 156起	哈尔滨经济型酒店好评第30（共132家）	4.6	164	南方土豆超满意。离索菲亚广场最多800米
哈尔滨	哈尔滨美途酒店式公寓(中央大街99公馆店)		哈尔滨道里区尚志大街东七道街20号99号公馆1236室	暂无报价	哈尔滨同档次酒店好评第1514（共9628家）	4.2	218	房间宽敞窗户亮堂,来东北住得很满意
