水温,pH,溶解氧,高锰酸盐指数,氨氮,总磷,总氮,电导率,浊度
13.52,8.11,7.14,6.68,0.181736111,0.09,1.45,515.69,41.38
13.92,8.08,7.53,7.17,0.184097222,0.09,1.22,502.1938889,43.75
14.28,8.05,7.36,6.96,0.18,0.09,1.28,503.2160417,39.03
14.41,8.02,7.23,7.34,0.18,0.09,1.32,504.2663194,49.76
14.49,8.12,7.05,7.2,0.22,0.09,1.43,505.3446528,46.1
14.71,8.1,7.05,6.91,0.21,0.1,1.46,515.7,41.09
14.94,8.09,7.27,6.7,0.21,0.1,1.43,516.61,37.49
14.75,8.07,6.96,6.8,0.22,0.1,1.42,517.12,39.27
14.73,8.03,6.9,7.14,0.22,0.1,1.51,511.0659028,47.66
14.9,8,7.08,7.32,0.205,0.1,1.47,512.5054861,47.14
15.18,7.97,7.08,7,0.22,0.1,1.48,514.0066667,39.28
15.32,7.94,6.86,7.13,0.22,0.11,1.49,515.2035417,42.53
15.05,7.91,6.48,7.22,0.22,0.11,1.49,515.5335417,46.99
15.19,7.89,6.97,7.29,0.21,0.11,1.54,516.6570833,47.87
15.28,7.86,6.87,7.33,0.213333333,0.11,1.47,517.8659028,45.45
15.51,7.83,6.77,7.19,0.11,0.11,1.5,518.9442361,64.87
15.33,7.8,6.66,7.43,0.204375,0.11,1.68,519.9566667,46.16
15.36,7.775,6.54,7.56,0.03,0.11,1.72,520.5658333,50.2
15.77,7.75,6.42,7.5,0.03,0.11,1.66,520.9696528,44.71
15.84,7.72,6.34,7.63,0.03,0.11,1.67,521.3971528,47.19
15.89,7.69,6.27,7.65,0.03,0.11,1.73,521.6579861,44.88
16.13,7.67,6.21,7.31,0.03,0.11,1.62,521.9788194,39.15
16.39,7.64,6.9,7.35,0.03,0.11,1.73,522.2091667,37.88
16.19,7.61,6.55,7.66,0.101041667,0.11,1.63,522.7125694,43.37
16.01,7.58,6.14,7.2,0.088958333,0.11,1.67,523.2751389,40.88
16.06,7.56,6.55,7.01,0.076597222,0.09,1.7,523.8002083,38.99
16.22,7.54,6.76,7.22,0.03,0.11,1.72,524.2157639,41.46
16.12,7.53,7.03,7.26,0.03,0.1,1.73,524.7463889,39.05
16.26,7.53,7.13,7.37,0.041805556,0.1,1.74,525.3290278,38.41
16.87,8.15,7.79,7.2,0.042777778,0.08,1.74,525.9855556,30.51
16.71,8.25,7.72,6.81,0.03,0.07,1.75,526.8172917,25.57
16.75,8.15,7.56,7.53,0.03,0.09,1.76,527.6292361,41.37
17.28,8.17,7.92,7.34,0.03,0.08,1.76,528.4296528,30.04
17.12,8.16,7.65,7.12,0.03,0.08,1.76,529.2058333,27.93
17.1,8.17,7.63,7.3,0.03,0.08,1.73,529.9777083,30.42
17.56,8.23,7.76,7.35,0.03,0.08,1.71,530.6909722,30.38
17.42,8.23,7.64,7.52,0.03,0.08,1.76,531.3314583,33.67
17.73,8.47,8,7.33,0.03,0.08,1.66,531.9030556,38.36
17.45,8.36,7.78,7.63,0.03,0.08,1.67,532.4051389,32.64
17.51,8.29,7.58,6.92,0.03,0.07,1.73,532.9054861,28.1
17.47,8.47,7.82,6.94,0.03,0.07,1.73,533.415625,28.2
17.62,8.51,8.04,7.02,0.03,0.06,1.73,533.9059722,26.8
17.86,8.5,8.12,7.02,0.03,0.07,1.72,534.4208333,25.75
18.23,8.55,8.45,7.01,0.03,0.06,1.7,534.9636111,24.76
18.53,8.57,8.71,7.19,0.03,0.06,1.63,535.4950694,25.34
18.72,8.63,8.5,7.02,0.03,0.06,1.69,536.0254861,24.92
18.62,8.66,8.24,7.23,0.03,0.06,1.68,536.5545139,26.04
18.81,8.62,8.38,7.41,0.03,0.06,1.57,537.0977778,23.86
18.74,8.56,8.19,7.66,0.03,0.07,1.51,537.6765278,27.43
18.56,8.53,8.12,7.69,0.03,0.07,1.47,538.2975,26.41
18.66,8.53,8.48,7.24,0.03,0.07,1.44,538.9596528,26.5
18.85,8.5,8.64,7.32,0.030138889,0.07,1.52,539.5184722,29.77
19.04,8.48,8.47,7.39,0.030416667,0.07,1.3,539.9463194,27.51
